Crime Research and Statistics -South African Police Service,,,,,,,,,,
,,,,,,,,,,
Crime in  Limpopo for April to March 2003/2004 - 2012/2013,,,,,,,,,,
,,,,,,,,,,
-,,,,,,,,,,
,,,,,,,,,,
Crime Category,April 2003 to March 2004,April 2004 to March 2005,April 2005 to March 2006,April 2006 to March 2007,April 2007 to March 2008 ,April 2008 to March 2009 ,April 2009 to March 2010,April 2010 to March 2011,April 2011 to March 2012,April 2012 to March 2013
Robbery at non-residential premises,0,0,0,2,6,11,11,7,16,10
OTHER CRIME CATEGORIES,,,,,,,,,,
Culpable homicide,13,10,20,9,17,15,16,19,15,15
Public violence,1,0,0,0,0,1,0,0,0,0
Crimen injuria,24,24,19,10,10,13,15,13,15,7
Neglect and ill-treatment of children ,0,2,3,3,1,0,2,2,0,0
Kidnapping,0,3,1,0,0,0,3,2,0,1
,,,,,,,,,,
,,,,,,,,,,
Crime Research and Statistics -South African Police Service,,,,,,,,,,
,,,,,,,,,,
Crime in  Laersdrift (LI)  for April to March 2003/2004 - 2012/2013,,,,,,,,,,
,,,,,,,,,,
-,,,,,,,,,,
,,,,,,,,,,
Crime Category,April 2003 to March 2004,April 2004 to March 2005,April 2005 to March 2006,April 2006 to March 2007,April 2007 to March 2008 ,April 2008 to March 2009 ,April 2009 to March 2010,April 2010 to March 2011,April 2011 to March 2012,April 2012 to March 2013
CONTACT CRIME (CRIMES AGAINST THE PERSON),,,,,,,,,,
Murder,2,1,2,0,0,0,1,1,0,2
Total Sexual Crimes,8,6,9,4,7,10,5,2,9,1
Attempted murder,1,5,2,2,1,0,1,3,0,0
Assault with the intent to inflict grievous bodily harm,22,28,38,39,32,14,16,13,19,17
Common assault,22,29,29,36,21,7,9,9,8,5
Common robbery,3,5,2,4,3,1,1,1,2,1
Robbery with aggravating circumstances,7,8,9,11,5,4,3,3,3,5
CONTACT-RELATED CRIMES,,,,,,,,,,
Arson,0,2,0,0,0,0,0,1,0,1
Malicious damage to property,22,26,17,25,13,17,16,14,9,8
PROPERTY-RELATED CRIMES,,,,,,,,,,
Burglary at non-residential premises,13,6,4,2,3,1,3,4,0,2
Burglary at residential premises,68,43,34,29,32,24,37,34,30,24
Theft of motor vehicle and motorcycle,4,8,6,3,6,1,12,5,1,1
Theft out of or from motor vehicle,2,3,3,9,1,3,0,3,8,6
Stock-theft,38,20,13,18,15,20,22,30,29,36
CRIMES HEAVILY DEPENDENT ON POLICE ACTION FOR DETECTION,,,,,,,,,,
Illegal possession of firearms and ammunition,2,6,2,0,0,0,3,1,2,1
Drug-related crime,2,1,1,1,4,1,4,0,2,6
Driving under the influence of alcohol or drugs,0,0,0,2,1,3,3,3,2,1
OTHER SERIOUS CRIMES,,,,,,,,,,
All theft not mentioned elsewhere,74,79,70,70,50,47,46,63,43,57
Commercial crime,1,3,3,3,1,3,4,3,5,2
Shoplifting,2,2,0,0,1,1,0,0,0,0
SUBCATEGORIES OF AGGRAVATED ROBBERY FORMING PART OF AGGRAVATED ROBBERY ABOVE,,,,,,,,,,
Carjacking,2,2,2,0,1,0,1,0,0,0
Truck hijacking,1,1,1,1,0,0,0,0,0,0
Robbery at residential premises,0,0,1,0,0,1,0,0,2,3
Robbery at non-residential premises,0,0,0,0,0,2,1,2,0,2
OTHER CRIME CATEGORIES,,,,,,,,,,
Culpable homicide,11,8,14,7,10,11,7,8,9,8
Public violence,0,0,0,0,0,0,0,0,0,0
Crimen injuria,8,6,6,5,3,1,0,5,3,1
Neglect and ill-treatment of children ,0,1,0,0,0,0,0,0,0,0
Kidnapping,0,0,0,1,0,0,1,0,0,0
,,,,,,,,,,
,,,,,,,,,,
Crime Research and Statistics -South African Police Service,,,,,,,,,,
,,,,,,,,,,
Crime in  Leboeng (LI)  for April to March 2003/2004 - 2012/2013,,,,,,,,,,
,,,,,,,,,,
-,,,,,,,,,,
,,,,,,,,,,
Crime Category,April 2003 to March 2004,April 2004 to March 2005,April 2005 to March 2006,April 2006 to March 2007,April 2007 to March 2008 ,April 2008 to March 2009 ,April 2009 to March 2010,April 2010 to March 2011,April 2011 to March 2012,April 2012 to March 2013
CONTACT CRIME (CRIMES AGAINST THE PERSON),,,,,,,,,,
Murder,3,2,2,1,1,1,1,3,3,1
Total Sexual Crimes,19,14,6,12,15,13,16,11,17,8
Attempted murder,1,2,1,0,3,1,1,2,2,0
Assault with the intent to inflict grievous bodily harm,61,36,34,39,39,37,40,47,35,38
Common assault,64,40,35,50,62,38,35,37,26,31
Common robbery,7,5,6,2,18,7,6,6,2,4
Robbery with aggravating circumstances,8,4,2,2,4,7,1,4,8,5
CONTACT-RELATED CRIMES,,,,,,,,,,
Arson,0,0,1,1,2,0,1,1,2,2
Malicious damage to property,18,9,10,18,25,20,9,10,17,16
PROPERTY-RELATED CRIMES,,,,,,,,,,
Burglary at non-residential premises,7,17,9,26,23,27,29,45,18,32
Burglary at residential premises,24,26,24,23,28,33,22,23,22,28
Theft of motor vehicle and motorcycle,2,2,3,1,3,0,4,3,3,1
Theft out of or from motor vehicle,7,2,4,1,4,5,4,2,1,4
Stock-theft,1,0,1,6,8,2,3,4,10,2
CRIMES HEAVILY DEPENDENT ON POLICE ACTION FOR DETECTION,,,,,,,,,,
Illegal possession of firearms and ammunition,2,1,2,0,0,4,0,0,2,2
Drug-related crime,1,14,3,4,5,14,11,4,12,41
Driving under the influence of alcohol or drugs,1,1,0,2,1,4,3,3,1,6
OTHER SERIOUS CRIMES,,,,,,,,,,
All theft not mentioned elsewhere,41,26,15,15,25,32,20,23,31,21
Commercial crime,1,5,2,0,0,1,0,1,1,0
Shoplifting,1,0,0,0,1,0,0,0,0,0
SUBCATEGORIES OF AGGRAVATED ROBBERY FORMING PART OF AGGRAVATED ROBBERY ABOVE,,,,,,,,,,
Carjacking,0,0,0,0,0,2,0,0,1,0
Truck hijacking,0,1,0,0,0,0,0,0,0,0
Robbery at residential premises,0,0,0,0,0,0,0,2,2,1
Robbery at non-residential premises,0,0,0,0,1,0,0,0,3,4
OTHER CRIME CATEGORIES,,,,,,,,,,
Culpable homicide,4,1,3,3,5,4,3,6,4,1
Public violence,0,0,0,0,1,1,3,0,0,0
Crimen injuria,8,7,5,2,14,10,9,5,4,5
Neglect and ill-treatment of children ,0,2,2,0,1,1,4,4,2,0
Kidnapping,0,0,0,0,0,1,0,1,0,0
,,,,,,,,,,
,,,,,,,,,,
Crime Research and Statistics -South African Police Service,,,,,,,,,,
,,,,,,,,,,
Crime in  Lebowakgomo (LI)  [169]   for April to March 2003/2004 - 2012/2013,,,,,,,,,,
,,,,,,,,,,
-,,,,,,,,,,
,,,,,,,,,,
Crime Category,April 2003 to March 2004,April 2004 to March 2005,April 2005 to March 2006,April 2006 to March 2007,April 2007 to March 2008 ,April 2008 to March 2009 ,April 2009 to March 2010,April 2010 to March 2011,April 2011 to March 2012,April 2012 to March 2013
CONTACT CRIME (CRIMES AGAINST THE PERSON),,,,,,,,,,
Murder,20,16,18,18,16,20,18,15,23,15
Total Sexual Crimes,105,141,119,127,129,142,115,121,123,118
Attempted murder,49,29,41,16,16,20,16,21,7,18
Assault with the intent to inflict grievous bodily harm,420,438,420,373,365,408,372,361,344,342
Common assault,318,288,265,254,172,180,160,143,171,157
Common robbery,130,148,132,167,163,132,145,109,92,102
Robbery with aggravating circumstances,110,94,92,82,63,107,114,109,89,96
CONTACT-RELATED CRIMES,,,,,,,,,,
Arson,9,10,10,23,6,10,6,10,10,15
Malicious damage to property,170,223,211,202,183,199,182,163,184,154
PROPERTY-RELATED CRIMES,,,,,,,,,,
Burglary at non-residential premises,151,97,88,133,168,185,235,187,149,165
Burglary at residential premises,236,278,213,221,279,240,251,200,343,247
Theft of motor vehicle and motorcycle,31,51,30,22,13,45,31,22,26,32
Theft out of or from motor vehicle,92,84,48,38,39,49,56,47,51,92
Stock-theft,70,70,76,96,56,77,83,80,104,100
CRIMES HEAVILY DEPENDENT ON POLICE ACTION FOR DETECTION,,,,,,,,,,
Illegal possession of firearms and ammunition,11,18,14,10,8,18,17,16,20,9
Drug-related crime,55,45,40,73,116,155,225,181,191,158
Driving under the influence of alcohol or drugs,12,29,29,33,45,51,87,103,67,37
OTHER SERIOUS CRIMES,,,,,,,,,,
All theft not mentioned elsewhere,420,390,296,381,270,379,313,311,333,293
Commercial crime,37,58,45,44,56,68,64,100,82,67
Shoplifting,60,67,64,91,95,139,61,61,71,89
SUBCATEGORIES OF AGGRAVATED ROBBERY FORMING PART OF AGGRAVATED ROBBERY ABOVE,,,,,,,,,,
Carjacking,1,10,15,15,17,24,13,12,6,12
Truck hijacking,0,0,0,0,1,0,0,0,1,0
Robbery at residential premises,0,0,1,0,3,26,21,29,16,12
Robbery at non-residential premises,1,1,5,1,4,18,27,24,31,38
OTHER CRIME CATEGORIES,,,,,,,,,,
Culpable homicide,17,16,20,25,35,24,42,25,32,25
Public violence,1,3,3,3,1,0,1,0,2,2
Crimen injuria,107,85,106,75,57,64,37,52,66,67
Neglect and ill-treatment of children ,11,5,16,11,7,10,7,16,7,10
Kidnapping,8,8,10,10,8,6,5,7,6,6
,,,,,,,,,,
,,,,,,,,,,
Crime Research and Statistics -South African Police Service,,,,,,,,,,
,,,,,,,,,,
Crime in  Lephalale (LI)  for April to March 2003/2004 - 2012/2013,,,,,,,,,,
,,,,,,,,,,
Lephalale was previously named Ellisras,,,,,,,,,,
,,,,,,,,,,
Crime Category,April 2003 to March 2004,April 2004 to March 2005,April 2005 to March 2006,April 2006 to March 2007,April 2007 to March 2008 ,April 2008 to March 2009 ,April 2009 to March 2010,April 2010 to March 2011,April 2011 to March 2012,April 2012 to March 2013
CONTACT CRIME (CRIMES AGAINST THE PERSON),,,,,,,,,,
Murder,3,4,7,5,5,6,10,5,11,10
Total Sexual Crimes,25,24,24,24,23,38,30,46,71,90
Attempted murder,2,3,6,2,2,0,6,2,7,2
Assault with the intent to inflict grievous bodily harm,170,122,102,124,128,145,196,174,205,205
Common assault,234,227,219,239,222,241,270,200,262,248
Common robbery,7,13,18,36,34,58,61,67,84,99
Robbery with aggravating circumstances,0,5,2,2,3,6,21,26,25,31
CONTACT-RELATED CRIMES,,,,,,,,,,
Arson,0,0,1,0,1,1,1,5,3,3
Malicious damage to property,91,80,65,119,119,130,139,141,120,167
PROPERTY-RELATED CRIMES,,,,,,,,,,
Burglary at non-residential premises,51,33,43,71,44,97,62,45,64,120
Burglary at residential premises,73,84,70,101,106,120,299,300,393,522
Theft of motor vehicle and motorcycle,22,21,7,9,20,14,23,13,22,33
Theft out of or from motor vehicle,42,47,33,60,60,56,96,82,145,188
Stock-theft,17,12,12,13,17,14,5,10,8,1
CRIMES HEAVILY DEPENDENT ON POLICE ACTION FOR DETECTION,,,,,,,,,,
Illegal possession of firearms and ammunition,3,3,1,2,0,3,3,6,6,4
Drug-related crime,19,15,13,26,20,22,38,51,65,55
Driving under the influence of alcohol or drugs,8,19,48,43,47,44,58,112,68,59
OTHER SERIOUS CRIMES,,,,,,,,,,
All theft not mentioned elsewhere,399,317,257,357,339,389,435,410,346,428
Commercial crime,32,44,28,33,60,54,74,94,85,122
Shoplifting,65,44,42,57,58,81,150,158,156,165
SUBCATEGORIES OF AGGRAVATED ROBBERY FORMING PART OF AGGRAVATED ROBBERY ABOVE,,,,,,,,,,
Carjacking,0,0,0,0,0,0,1,0,0,1
Truck hijacking,0,0,0,0,0,0,0,0,0,1
Robbery at residential premises,0,0,0,0,0,3,4,7,3,7
Robbery at non-residential premises,0,0,0,0,0,1,5,3,14,11
OTHER CRIME CATEGORIES,,,,,,,,,,
Culpable homicide,9,13,9,8,15,24,23,14,32,31
Public violence,1,0,0,0,1,4,3,0,1,6
Crimen injuria,76,78,82,68,59,58,66,41,56,53
Neglect and ill-treatment of children ,1,2,0,0,1,4,2,2,1,0
Kidnapping,1,0,0,1,1,1,0,1,7,1
,,,,,,,,,,
,,,,,,,,,,
Crime Research and Statistics -South African Police Service,,,,,,,,,,
,,,,,,,,,,
Crime in  Letsitele (LI)  [169]   for April to March 2003/2004 - 2012/2013,,,,,,,,,,
,,,,,,,,,,
-,,,,,,,,,,
,,,,,,,,,,
Crime Category,April 2003 to March 2004,April 2004 to March 2005,April 2005 to March 2006,April 2006 to March 2007,April 2007 to March 2008 ,April 2008 to March 2009 ,April 2009 to March 2010,April 2010 to March 2011,April 2011 to March 2012,April 2012 to March 2013
CONTACT CRIME (CRIMES AGAINST THE PERSON),,,,,,,,,,
Murder,10,14,5,8,14,11,13,12,12,14
Total Sexual Crimes,73,126,97,94,80,77,83,97,95,87
Attempted murder,17,23,8,10,12,15,4,16,15,15
Assault with the intent to inflict grievous bodily harm,420,409,316,272,207,209,171,189,220,242
Common assault,468,459,214,133,78,87,82,92,96,105
Common robbery,100,82,50,55,45,41,39,39,55,56
Robbery with aggravating circumstances,42,53,25,19,21,30,49,53,58,58
CONTACT-RELATED CRIMES,,,,,,,,,,
Arson,28,21,20,13,22,17,15,19,15,10
Malicious damage to property,174,161,105,112,89,107,93,91,100,117
PROPERTY-RELATED CRIMES,,,,,,,,,,
Burglary at non-residential premises,52,53,96,68,121,156,168,129,134,158
Burglary at residential premises,296,267,197,216,186,196,176,218,247,216
Theft of motor vehicle and motorcycle,9,7,18,10,20,11,12,7,10,6
Theft out of or from motor vehicle,36,51,36,29,41,44,40,33,55,61
Stock-theft,44,23,28,27,33,42,41,43,53,74
CRIMES HEAVILY DEPENDENT ON POLICE ACTION FOR DETECTION,,,,,,,,,,
Illegal possession of firearms and ammunition,5,6,2,3,7,9,6,10,6,10
Drug-related crime,15,24,17,38,75,63,68,59,54,99
Driving under the influence of alcohol or drugs,1,0,1,5,9,8,28,44,15,28
OTHER SERIOUS CRIMES,,,,,,,,,,
All theft not mentioned elsewhere,560,464,429,382,253,377,281,286,344,307
Commercial crime,12,4,7,10,8,51,62,40,54,43
Shoplifting,7,10,5,4,5,2,1,8,5,2
SUBCATEGORIES OF AGGRAVATED ROBBERY FORMING PART OF AGGRAVATED ROBBERY ABOVE,,,,,,,,,,
Carjacking,0,1,0,0,0,1,2,2,2,4
Truck hijacking,0,1,0,0,1,0,0,0,0,0
Robbery at residential premises,0,2,0,2,3,9,11,17,15,22
Robbery at non-residential premises,0,1,1,0,3,3,10,17,20,19
OTHER CRIME CATEGORIES,,,,,,,,,,
Culpable homicide,17,15,20,23,9,15,21,17,15,10
Public violence,0,0,0,0,0,0,0,1,1,3
Crimen injuria,155,107,57,13,9,9,14,20,26,43
Neglect and ill-treatment of children ,3,6,2,0,3,2,3,0,2,1
Kidnapping,0,0,1,0,0,0,0,1,3,5
,,,,,,,,,,
,,,,,,,,,,
Crime Research and Statistics -South African Police Service,,,,,,,,,,
,,,,,,,,,,
Crime in  Levubu (LI)  for April to March 2003/2004 - 2012/2013,,,,,,,,,,
,,,,,,,,,,
-,,,,,,,,,,
,,,,,,,,,,
Crime Category,April 2003 to March 2004,April 2004 to March 2005,April 2005 to March 2006,April 2006 to March 2007,April 2007 to March 2008 ,April 2008 to March 2009 ,April 2009 to March 2010,April 2010 to March 2011,April 2011 to March 2012,April 2012 to March 2013
CONTACT CRIME (CRIMES AGAINST THE PERSON),,,,,,,,,,
Murder,6,6,10,4,2,4,2,4,5,4
Total Sexual Crimes,83,63,44,54,74,61,66,50,63,71
Attempted murder,10,7,0,6,7,5,5,4,6,3
Assault with the intent to inflict grievous bodily harm,356,280,253,207,162,205,225,195,194,229
Common assault,367,271,175,182,157,162,175,191,163,141
Common robbery,102,45,60,46,35,40,50,47,31,19
Robbery with aggravating circumstances,45,17,8,14,15,15,16,10,30,60
CONTACT-RELATED CRIMES,,,,,,,,,,
Arson,21,16,11,3,5,4,14,5,8,10
Malicious damage to property,110,83,92,96,63,92,89,74,74,75
PROPERTY-RELATED CRIMES,,,,,,,,,,
Burglary at non-residential premises,51,56,65,38,33,51,49,55,83,95
Burglary at residential premises,232,187,112,93,68,105,155,154,167,157
Theft of motor vehicle and motorcycle,7,4,2,4,3,0,4,5,1,4
Theft out of or from motor vehicle,16,20,26,52,20,30,16,14,29,38
Stock-theft,3,4,5,3,5,2,5,9,7,12
CRIMES HEAVILY DEPENDENT ON POLICE ACTION FOR DETECTION,,,,,,,,,,
Illegal possession of firearms and ammunition,6,2,1,3,3,2,0,2,1,7
Drug-related crime,43,35,35,43,98,156,139,111,110,152
Driving under the influence of alcohol or drugs,0,3,1,1,5,18,17,14,13,15
OTHER SERIOUS CRIMES,,,,,,,,,,
All theft not mentioned elsewhere,287,204,194,193,199,224,212,190,163,154
Commercial crime,6,2,0,5,1,11,6,3,16,7
Shoplifting,3,4,2,4,5,11,17,18,10,6
SUBCATEGORIES OF AGGRAVATED ROBBERY FORMING PART OF AGGRAVATED ROBBERY ABOVE,,,,,,,,,,
Carjacking,2,0,0,0,0,0,1,0,0,3
Truck hijacking,0,0,0,0,0,0,0,0,0,1
Robbery at residential premises,0,1,0,2,1,6,1,0,8,17
Robbery at non-residential premises,1,0,0,1,2,0,7,2,9,13
OTHER CRIME CATEGORIES,,,,,,,,,,
Culpable homicide,10,9,10,14,12,19,20,18,21,10
Public violence,0,1,0,1,1,0,0,0,0,0
Crimen injuria,52,22,17,13,7,15,21,15,4,13
Neglect and ill-treatment of children ,7,1,2,4,5,3,6,5,4,0
Kidnapping,0,0,0,0,0,1,0,5,3,2
,,,,,,,,,,
,,,,,,,,,,
Crime Research and Statistics -South African Police Service,,,,,,,,,,
,,,,,,,,,,
Crime in  Lulekani (LI)  for April to March 2003/2004 - 2012/2013,,,,,,,,,,
,,,,,,,,,,
-,,,,,,,,,,
,,,,,,,,,,
Crime Category,April 2003 to March 2004,April 2004 to March 2005,April 2005 to March 2006,April 2006 to March 2007,April 2007 to March 2008 ,April 2008 to March 2009 ,April 2009 to March 2010,April 2010 to March 2011,April 2011 to March 2012,April 2012 to March 2013
CONTACT CRIME (CRIMES AGAINST THE PERSON),,,,,,,,,,
Murder,4,3,3,3,4,6,9,6,3,2
Total Sexual Crimes,46,40,47,43,53,32,47,38,45,47
Attempted murder,5,8,9,7,3,7,1,7,11,6
Assault with the intent to inflict grievous bodily harm,188,218,184,199,132,144,151,135,121,108
Common assault,104,90,67,49,60,50,57,46,65,53
Common robbery,36,28,59,51,40,49,38,31,68,16
Robbery with aggravating circumstances,3,9,9,11,6,19,14,17,11,13
CONTACT-RELATED CRIMES,,,,,,,,,,
Arson,3,8,13,3,6,2,7,7,5,12
Malicious damage to property,49,56,36,63,61,63,51,41,48,40
PROPERTY-RELATED CRIMES,,,,,,,,,,
Burglary at non-residential premises,0,2,1,20,65,41,35,21,52,86
Burglary at residential premises,148,170,184,199,147,153,155,89,121,165
Theft of motor vehicle and motorcycle,6,1,2,9,10,12,9,7,3,2
Theft out of or from motor vehicle,26,14,25,49,27,12,16,6,8,16
Stock-theft,28,4,7,23,24,17,21,14,20,18
CRIMES HEAVILY DEPENDENT ON POLICE ACTION FOR DETECTION,,,,,,,,,,
Illegal possession of firearms and ammunition,2,2,4,1,3,9,7,2,1,2
Drug-related crime,14,6,6,7,2,3,4,2,4,23
Driving under the influence of alcohol or drugs,2,0,1,2,8,6,15,24,9,28
OTHER SERIOUS CRIMES,,,,,,,,,,
All theft not mentioned elsewhere,184,149,147,176,142,146,153,108,127,107
Commercial crime,4,3,3,8,10,11,10,16,22,17
Shoplifting,4,2,2,0,0,1,1,0,1,2
SUBCATEGORIES OF AGGRAVATED ROBBERY FORMING PART OF AGGRAVATED ROBBERY ABOVE,,,,,,,,,,
Carjacking,0,0,1,0,0,3,3,0,0,2
Truck hijacking,0,0,0,0,0,0,0,0,0,0
Robbery at residential premises,0,0,0,2,3,5,3,2,5,2
Robbery at non-residential premises,1,0,1,0,0,3,1,10,5,4
OTHER CRIME CATEGORIES,,,,,,,,,,
Culpable homicide,1,7,6,4,2,10,4,5,5,8
Public violence,0,0,0,0,0,0,0,3,1,0
Crimen injuria,54,28,33,22,16,13,12,21,23,15
Neglect and ill-treatment of children ,12,9,9,2,4,5,3,5,7,5
Kidnapping,0,0,0,0,0,0,0,0,2,0
,,,,,,,,,,
,,,,,,,,,,
Crime Research and Statistics -South African Police Service,,,,,,,,,,
,,,,,,,,,,
Crime in  Maake (LI)  [169]   for April to March 2003/2004 - 2012/2013,,,,,,,,,,
,,,,,,,,,,
-,,,,,,,,,,
,,,,,,,,,,
Crime Category,April 2003 to March 2004,April 2004 to March 2005,April 2005 to March 2006,April 2006 to March 2007,April 2007 to March 2008 ,April 2008 to March 2009 ,April 2009 to March 2010,April 2010 to March 2011,April 2011 to March 2012,April 2012 to March 2013
CONTACT CRIME (CRIMES AGAINST THE PERSON),,,,,,,,,,
Murder,32,21,31,25,20,19,29,26,27,22
Total Sexual Crimes,142,150,148,162,154,122,130,130,142,165
Attempted murder,37,27,15,25,10,14,29,27,19,30
Assault with the intent to inflict grievous bodily harm,411,455,397,389,344,300,325,346,353,322
Common assault,389,446,266,255,252,194,189,176,231,192
Common robbery,148,190,144,112,106,92,82,76,71,94
Robbery with aggravating circumstances,123,96,51,89,50,57,54,62,80,107
CONTACT-RELATED CRIMES,,,,,,,,,,
Arson,17,23,16,16,21,10,23,15,15,15
Malicious damage to property,174,163,169,152,181,136,139,122,142,186
PROPERTY-RELATED CRIMES,,,,,,,,,,
Burglary at non-residential premises,131,118,161,223,161,178,155,113,169,184
Burglary at residential premises,282,297,272,284,288,232,244,223,307,328
Theft of motor vehicle and motorcycle,20,16,27,23,27,15,17,15,17,17
Theft out of or from motor vehicle,88,56,51,34,39,37,31,31,57,72
Stock-theft,26,24,20,27,30,14,18,21,23,32
CRIMES HEAVILY DEPENDENT ON POLICE ACTION FOR DETECTION,,,,,,,,,,
Illegal possession of firearms and ammunition,18,10,10,14,15,18,16,9,24,6
Drug-related crime,24,23,10,43,55,62,71,53,107,155
Driving under the influence of alcohol or drugs,6,4,5,3,5,41,99,83,15,34
OTHER SERIOUS CRIMES,,,,,,,,,,
All theft not mentioned elsewhere,341,301,406,365,278,227,156,184,227,212
Commercial crime,7,13,9,13,14,91,92,62,110,156
Shoplifting,0,0,0,0,0,22,101,73,58,60
SUBCATEGORIES OF AGGRAVATED ROBBERY FORMING PART OF AGGRAVATED ROBBERY ABOVE,,,,,,,,,,
Carjacking,2,3,7,9,3,6,4,3,2,7
Truck hijacking,0,0,0,0,0,0,0,0,0,0
Robbery at residential premises,31,12,7,13,10,12,24,18,28,37
Robbery at non-residential premises,0,1,0,0,4,18,11,23,32,40
OTHER CRIME CATEGORIES,,,,,,,,,,
Culpable homicide,9,14,21,16,20,20,22,17,27,15
Public violence,0,0,0,1,0,1,0,1,2,1
Crimen injuria,86,82,50,49,33,29,25,18,45,37
Neglect and ill-treatment of children ,1,6,5,4,5,3,6,4,2,2
Kidnapping,1,2,2,3,0,2,2,1,5,4
,,,,,,,,,,
,,,,,,,,,,
Crime Research and Statistics -South African Police Service,,,,,,,,,,
,,,,,,,,,,
Crime in  Magatle (LI)  for April to March 2003/2004 - 2012/2013,,,,,,,,,,
,,,,,,,,,,
-,,,,,,,,,,
,,,,,,,,,,
Crime Category,April 2003 to March 2004,April 2004 to March 2005,April 2005 to March 2006,April 2006 to March 2007,April 2007 to March 2008 ,April 2008 to March 2009 ,April 2009 to March 2010,April 2010 to March 2011,April 2011 to March 2012,April 2012 to March 2013
CONTACT CRIME (CRIMES AGAINST THE PERSON),,,,,,,,,,
Murder,4,10,14,4,14,9,13,9,13,14
Total Sexual Crimes,40,97,52,54,44,52,41,49,64,47
Attempted murder,7,11,6,6,6,8,7,5,7,8
Assault with the intent to inflict grievous bodily harm,126,176,125,158,142,146,192,138,145,118
Common assault,29,57,36,56,32,52,63,42,38,29
Common robbery,26,23,26,21,21,18,26,27,25,17
Robbery with aggravating circumstances,34,67,44,32,44,60,22,37,49,36
CONTACT-RELATED CRIMES,,,,,,,,,,
Arson,5,3,0,3,3,3,4,2,1,5
Malicious damage to property,29,47,29,52,59,60,68,53,71,53
PROPERTY-RELATED CRIMES,,,,,,,,,,
Burglary at non-residential premises,69,62,39,76,55,58,71,50,52,50
Burglary at residential premises,100,121,118,101,106,101,144,129,127,71
Theft of motor vehicle and motorcycle,8,9,4,13,4,5,6,10,10,11
Theft out of or from motor vehicle,11,13,6,6,8,9,15,14,11,6
Stock-theft,51,65,40,73,45,29,39,51,61,48
CRIMES HEAVILY DEPENDENT ON POLICE ACTION FOR DETECTION,,,,,,,,,,
Illegal possession of firearms and ammunition,19,7,16,3,7,10,1,5,4,1
Drug-related crime,45,34,26,84,38,41,59,147,160,166
Driving under the influence of alcohol or drugs,0,2,0,4,6,10,8,31,22,26
OTHER SERIOUS CRIMES,,,,,,,,,,
All theft not mentioned elsewhere,78,83,77,57,71,63,81,61,102,84
Commercial crime,3,6,2,0,4,2,3,3,8,5
Shoplifting,0,1,0,0,0,0,0,0,0,0
SUBCATEGORIES OF AGGRAVATED ROBBERY FORMING PART OF AGGRAVATED ROBBERY ABOVE,,,,,,,,,,
Carjacking,1,3,0,0,1,6,2,0,3,3
Truck hijacking,0,0,0,0,0,0,0,0,0,0
Robbery at residential premises,4,6,2,1,8,10,8,3,19,11
Robbery at non-residential premises,22,27,1,0,8,18,8,17,24,17
OTHER CRIME CATEGORIES,,,,,,,,,,
Culpable homicide,2,5,6,4,6,1,9,4,4,2
Public violence,0,0,0,0,1,0,0,0,0,0
Crimen injuria,7,22,8,10,6,4,1,0,0,1
Neglect and ill-treatment of children ,1,0,0,0,1,1,2,2,3,3
Kidnapping,0,1,2,1,0,1,1,1,2,1
,,,,,,,,,,
,,,,,,,,,,
Crime Research and Statistics -South African Police Service,,,,,,,,,,
,,,,,,,,,,
Crime in  Mahwelereng (LI)  [169]   for April to March 2003/2004 - 2012/2013,,,,,,,,,,
,,,,,,,,,,
Mahwelereng was previously named Mokopane. Current Mokopane Station was previously named Potgietersrus,,,,,,,,,,
,,,,,,,,,,
Crime Category,April 2003 to March 2004,April 2004 to March 2005,April 2005 to March 2006,April 2006 to March 2007,April 2007 to March 2008 ,April 2008 to March 2009 ,April 2009 to March 2010,April 2010 to March 2011,April 2011 to March 2012,April 2012 to March 2013
CONTACT CRIME (CRIMES AGAINST THE PERSON),,,,,,,,,,
Murder,25,32,39,30,23,26,28,21,24,31
Total Sexual Crimes,191,220,209,163,169,167,176,143,133,148
Attempted murder,53,46,21,15,14,8,17,10,17,12
Assault with the intent to inflict grievous bodily harm,886,751,561,560,497,360,401,442,439,446
Common assault,652,586,410,379,325,129,172,199,203,191
Common robbery,201,225,127,109,130,86,79,91,100,98
Robbery with aggravating circumstances,195,222,149,203,128,134,131,156,138,111
CONTACT-RELATED CRIMES,,,,,,,,,,
Arson,14,22,15,16,11,7,7,10,8,20
Malicious damage to property,291,283,225,257,230,156,150,191,174,218
PROPERTY-RELATED CRIMES,,,,,,,,,,
Burglary at non-residential premises,156,153,132,123,168,182,129,87,121,118
Burglary at residential premises,421,361,348,441,379,447,389,386,418,361
Theft of motor vehicle and motorcycle,24,25,11,17,20,23,21,26,21,17
Theft out of or from motor vehicle,90,47,58,70,56,79,82,97,76,90
Stock-theft,49,74,40,54,23,24,32,19,30,33
CRIMES HEAVILY DEPENDENT ON POLICE ACTION FOR DETECTION,,,,,,,,,,
Illegal possession of firearms and ammunition,24,27,15,12,13,18,17,10,9,13
Drug-related crime,77,59,38,100,138,123,232,355,356,416
Driving under the influence of alcohol or drugs,20,17,27,20,10,24,9,16,19,36
OTHER SERIOUS CRIMES,,,,,,,,,,
All theft not mentioned elsewhere,580,858,315,364,466,459,318,467,517,414
Commercial crime,3,8,8,8,17,8,35,31,9,20
Shoplifting,2,3,2,4,2,3,4,3,8,5
