Crime Research and Statistics -South African Police Service,,,,,,,,,,
,,,,,,,,,,
Crime in  Mpumalanga  for April to March 2003/2004 - 2012/2013,,,,,,,,,,
,,,,,,,,,,
-,,,,,,,,,,
,,,,,,,,,,
Crime Category,April 2003 to March 2004,April 2004 to March 2005,April 2005 to March 2006,April 2006 to March 2007,April 2007 to March 2008 ,April 2008 to March 2009 ,April 2009 to March 2010,April 2010 to March 2011,April 2011 to March 2012,April 2012 to March 2013
Theft of motor vehicle and motorcycle,3,4,0,0,0,0,1,0,0,0
Theft out of or from motor vehicle,2,5,0,2,0,2,0,2,2,0
Stock-theft,9,8,6,6,9,8,5,4,1,0
CRIMES HEAVILY DEPENDENT ON POLICE ACTION FOR DETECTION,,,,,,,,,,
Illegal possession of firearms and ammunition,0,10,0,1,0,0,0,0,0,0
Drug-related crime,22,38,8,25,11,20,6,25,9,36
Driving under the influence of alcohol or drugs,3,4,3,2,2,3,1,3,5,2
OTHER SERIOUS CRIMES,,,,,,,,,,
All theft not mentioned elsewhere,25,18,10,7,8,8,4,6,11,3
Commercial crime,1,0,1,2,0,3,3,1,4,0
Shoplifting,0,0,0,0,0,0,0,0,0,0
SUBCATEGORIES OF AGGRAVATED ROBBERY FORMING PART OF AGGRAVATED ROBBERY ABOVE,,,,,,,,,,
Carjacking,1,0,0,0,0,0,0,0,0,0
Truck hijacking,0,0,0,0,0,0,0,0,0,0
Robbery at residential premises,1,1,0,0,0,0,1,0,0,1
Robbery at non-residential premises,0,0,0,0,0,1,0,2,0,2
OTHER CRIME CATEGORIES,,,,,,,,,,
Culpable homicide,3,1,2,1,0,0,0,1,1,0
Public violence,0,2,0,0,0,1,0,0,0,0
Crimen injuria,4,2,0,0,1,0,0,0,0,0
Neglect and ill-treatment of children ,1,0,0,0,0,0,3,0,0,0
Kidnapping,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,
,,,,,,,,,,
Crime Research and Statistics -South African Police Service,,,,,,,,,,
,,,,,,,,,,
Crime in  Elukwatini (MP)  for April to March 2003/2004 - 2012/2013,,,,,,,,,,
,,,,,,,,,,
-,,,,,,,,,,
,,,,,,,,,,
Crime Category,April 2003 to March 2004,April 2004 to March 2005,April 2005 to March 2006,April 2006 to March 2007,April 2007 to March 2008 ,April 2008 to March 2009 ,April 2009 to March 2010,April 2010 to March 2011,April 2011 to March 2012,April 2012 to March 2013
CONTACT CRIME (CRIMES AGAINST THE PERSON),,,,,,,,,,
Murder,12,10,10,11,9,16,10,11,5,7
Total Sexual Crimes,63,58,54,53,44,72,83,70,63,47
Attempted murder,17,15,11,10,21,10,14,6,5,6
Assault with the intent to inflict grievous bodily harm,194,194,184,218,245,189,208,150,137,118
Common assault,76,82,51,71,45,26,44,27,30,44
Common robbery,58,64,66,51,52,53,47,36,47,33
Robbery with aggravating circumstances,50,30,48,52,34,67,61,44,44,49
CONTACT-RELATED CRIMES,,,,,,,,,,
Arson,11,3,7,9,7,5,12,0,3,2
Malicious damage to property,53,63,65,74,69,61,66,40,45,36
PROPERTY-RELATED CRIMES,,,,,,,,,,
Burglary at non-residential premises,12,27,28,15,39,39,37,29,61,51
Burglary at residential premises,206,205,241,290,206,201,197,149,156,126
Theft of motor vehicle and motorcycle,22,30,18,10,21,19,19,8,22,31
Theft out of or from motor vehicle,41,25,17,12,12,17,9,14,13,12
Stock-theft,37,16,17,18,28,51,43,26,33,28
CRIMES HEAVILY DEPENDENT ON POLICE ACTION FOR DETECTION,,,,,,,,,,
Illegal possession of firearms and ammunition,15,11,6,17,8,6,9,7,11,10
Drug-related crime,19,17,35,15,23,17,12,19,56,106
Driving under the influence of alcohol or drugs,9,16,4,15,6,10,13,15,50,32
OTHER SERIOUS CRIMES,,,,,,,,,,
All theft not mentioned elsewhere,148,116,105,127,112,109,106,85,86,46
Commercial crime,7,8,16,20,28,74,71,31,22,59
Shoplifting,16,24,13,41,25,11,11,10,11,26
SUBCATEGORIES OF AGGRAVATED ROBBERY FORMING PART OF AGGRAVATED ROBBERY ABOVE,,,,,,,,,,
Carjacking,4,1,5,3,3,2,3,3,2,2
Truck hijacking,0,0,0,0,0,0,0,0,0,0
Robbery at residential premises,0,1,4,9,7,19,22,6,12,7
Robbery at non-residential premises,1,2,0,2,4,10,11,21,21,26
OTHER CRIME CATEGORIES,,,,,,,,,,
Culpable homicide,14,7,9,6,9,12,13,3,10,7
Public violence,0,0,0,1,2,1,0,0,1,0
Crimen injuria,10,13,15,9,8,7,8,1,2,4
Neglect and ill-treatment of children ,6,7,3,9,3,1,3,4,1,4
Kidnapping,1,2,1,3,0,1,1,2,4,2
,,,,,,,,,,
,,,,,,,,,,
Crime Research and Statistics -South African Police Service,,,,,,,,,,
,,,,,,,,,,
Crime in  Embalenhle (MP)  [169]   for April to March 2003/2004 - 2012/2013,,,,,,,,,,
,,,,,,,,,,
Embalenhle was previously named Langverwacht,,,,,,,,,,
,,,,,,,,,,
Crime Category,April 2003 to March 2004,April 2004 to March 2005,April 2005 to March 2006,April 2006 to March 2007,April 2007 to March 2008 ,April 2008 to March 2009 ,April 2009 to March 2010,April 2010 to March 2011,April 2011 to March 2012,April 2012 to March 2013
CONTACT CRIME (CRIMES AGAINST THE PERSON),,,,,,,,,,
Murder,38,60,54,48,34,44,39,41,42,28
Total Sexual Crimes,165,144,159,141,146,157,166,133,137,145
Attempted murder,30,39,39,31,54,24,21,14,18,10
Assault with the intent to inflict grievous bodily harm,583,611,610,574,693,598,517,448,337,370
Common assault,665,500,425,408,474,517,420,231,154,172
Common robbery,309,333,291,352,378,359,252,140,122,95
Robbery with aggravating circumstances,201,161,161,161,210,167,180,96,111,91
CONTACT-RELATED CRIMES,,,,,,,,,,
Arson,16,19,15,23,18,26,10,12,6,8
Malicious damage to property,213,227,226,238,269,268,187,152,127,144
PROPERTY-RELATED CRIMES,,,,,,,,,,
Burglary at non-residential premises,51,37,24,16,57,65,62,68,53,65
Burglary at residential premises,648,570,480,374,440,543,593,583,509,468
Theft of motor vehicle and motorcycle,88,63,120,93,72,103,157,119,54,46
Theft out of or from motor vehicle,143,102,79,60,51,66,67,109,53,58
Stock-theft,10,8,8,9,11,7,2,6,8,10
CRIMES HEAVILY DEPENDENT ON POLICE ACTION FOR DETECTION,,,,,,,,,,
Illegal possession of firearms and ammunition,26,22,23,10,19,15,12,19,18,7
Drug-related crime,30,48,30,31,42,35,71,79,109,175
Driving under the influence of alcohol or drugs,25,46,27,21,34,27,33,24,85,38
OTHER SERIOUS CRIMES,,,,,,,,,,
All theft not mentioned elsewhere,640,385,307,352,431,553,571,320,326,427
Commercial crime,15,20,11,16,41,45,75,78,51,62
Shoplifting,2,9,3,6,189,150,43,99,84,73
SUBCATEGORIES OF AGGRAVATED ROBBERY FORMING PART OF AGGRAVATED ROBBERY ABOVE,,,,,,,,,,
Carjacking,9,16,4,10,21,11,17,3,11,8
Truck hijacking,0,1,0,0,1,3,3,0,0,1
Robbery at residential premises,39,23,40,24,28,38,37,12,15,13
Robbery at non-residential premises,0,2,1,0,9,5,29,18,7,18
OTHER CRIME CATEGORIES,,,,,,,,,,
Culpable homicide,13,17,10,20,14,9,15,20,18,26
Public violence,0,3,2,2,0,2,3,7,6,1
Crimen injuria,39,38,48,43,57,60,35,15,9,9
Neglect and ill-treatment of children ,14,15,5,11,5,7,8,4,0,4
Kidnapping,2,10,4,6,9,3,7,7,1,4
,,,,,,,,,,
,,,,,,,,,,
Crime Research and Statistics -South African Police Service,,,,,,,,,,
,,,,,,,,,,
Crime in  Emzinoni (MP)  for April to March 2003/2004 - 2012/2013,,,,,,,,,,
,,,,,,,,,,
-,,,,,,,,,,
,,,,,,,,,,
Crime Category,April 2003 to March 2004,April 2004 to March 2005,April 2005 to March 2006,April 2006 to March 2007,April 2007 to March 2008 ,April 2008 to March 2009 ,April 2009 to March 2010,April 2010 to March 2011,April 2011 to March 2012,April 2012 to March 2013
CONTACT CRIME (CRIMES AGAINST THE PERSON),,,,,,,,,,
Murder,10,9,8,10,13,12,6,8,4,14
Total Sexual Crimes,55,52,52,52,50,44,59,49,37,44
Attempted murder,11,14,9,3,10,8,7,6,6,7
Assault with the intent to inflict grievous bodily harm,262,215,208,190,241,205,230,192,173,153
Common assault,159,114,81,68,93,87,66,90,67,54
Common robbery,30,31,39,23,42,39,29,42,29,16
Robbery with aggravating circumstances,17,18,14,12,16,22,29,20,25,14
CONTACT-RELATED CRIMES,,,,,,,,,,
Arson,7,4,9,6,7,12,13,5,5,3
Malicious damage to property,90,67,65,42,61,89,63,62,47,43
PROPERTY-RELATED CRIMES,,,,,,,,,,
Burglary at non-residential premises,5,3,6,9,14,28,15,3,6,16
Burglary at residential premises,226,242,205,201,196,202,193,171,177,250
Theft of motor vehicle and motorcycle,12,18,16,6,16,30,52,15,13,19
Theft out of or from motor vehicle,26,8,19,12,14,14,16,17,20,15
Stock-theft,9,21,16,7,24,16,15,14,15,8
CRIMES HEAVILY DEPENDENT ON POLICE ACTION FOR DETECTION,,,,,,,,,,
Illegal possession of firearms and ammunition,5,6,2,0,7,2,2,2,5,3
Drug-related crime,9,8,4,7,6,5,15,39,52,83
Driving under the influence of alcohol or drugs,10,8,4,2,4,5,15,12,22,20
OTHER SERIOUS CRIMES,,,,,,,,,,
All theft not mentioned elsewhere,215,175,95,82,107,104,72,86,63,84
Commercial crime,3,4,2,3,9,7,6,6,3,3
Shoplifting,1,0,0,0,0,0,2,0,0,1
SUBCATEGORIES OF AGGRAVATED ROBBERY FORMING PART OF AGGRAVATED ROBBERY ABOVE,,,,,,,,,,
Carjacking,0,1,0,0,0,4,3,5,1,0
Truck hijacking,0,0,0,0,0,0,1,0,1,0
Robbery at residential premises,0,0,0,0,0,7,9,4,4,5
Robbery at non-residential premises,1,0,0,0,2,2,5,2,12,5
OTHER CRIME CATEGORIES,,,,,,,,,,
Culpable homicide,1,3,2,3,3,5,4,1,5,6
Public violence,1,1,0,0,0,2,3,0,7,0
Crimen injuria,16,16,13,13,13,7,10,7,8,7
Neglect and ill-treatment of children ,6,3,0,3,3,3,0,2,0,0
Kidnapping,1,1,0,1,2,0,0,0,1,0
,,,,,,,,,,
,,,,,,,,,,
Crime Research and Statistics -South African Police Service,,,,,,,,,,
,,,,,,,,,,
Crime in  Ermelo (MP)  [169]   for April to March 2003/2004 - 2012/2013,,,,,,,,,,
,,,,,,,,,,
-,,,,,,,,,,
,,,,,,,,,,
Crime Category,April 2003 to March 2004,April 2004 to March 2005,April 2005 to March 2006,April 2006 to March 2007,April 2007 to March 2008 ,April 2008 to March 2009 ,April 2009 to March 2010,April 2010 to March 2011,April 2011 to March 2012,April 2012 to March 2013
CONTACT CRIME (CRIMES AGAINST THE PERSON),,,,,,,,,,
Murder,28,27,29,19,25,24,38,28,39,34
Total Sexual Crimes,125,164,165,141,144,153,172,169,136,149
Attempted murder,44,47,40,18,34,35,32,25,24,22
Assault with the intent to inflict grievous bodily harm,506,595,540,517,512,548,490,476,473,488
Common assault,832,925,619,670,605,561,589,543,514,579
Common robbery,284,320,293,309,319,289,391,297,207,197
Robbery with aggravating circumstances,100,84,80,72,65,93,134,133,151,154
CONTACT-RELATED CRIMES,,,,,,,,,,
Arson,18,22,18,27,27,23,17,15,11,19
Malicious damage to property,417,432,386,379,392,370,409,398,357,435
PROPERTY-RELATED CRIMES,,,,,,,,,,
Burglary at non-residential premises,115,85,65,90,63,65,38,104,169,92
Burglary at residential premises,841,735,694,662,662,822,749,798,900,889
Theft of motor vehicle and motorcycle,118,99,68,50,84,89,128,40,86,81
Theft out of or from motor vehicle,550,484,550,394,349,348,308,314,286,275
Stock-theft,201,181,147,157,110,139,173,182,103,128
CRIMES HEAVILY DEPENDENT ON POLICE ACTION FOR DETECTION,,,,,,,,,,
Illegal possession of firearms and ammunition,13,14,18,6,9,7,8,9,14,13
Drug-related crime,43,45,45,66,31,18,35,82,82,101
Driving under the influence of alcohol or drugs,47,82,47,50,72,149,114,100,123,124
OTHER SERIOUS CRIMES,,,,,,,,,,
All theft not mentioned elsewhere,1800,1641,1079,1047,1062,1104,1027,940,789,931
Commercial crime,144,113,116,150,346,295,383,357,611,707
Shoplifting,193,129,164,212,140,127,161,192,196,197
SUBCATEGORIES OF AGGRAVATED ROBBERY FORMING PART OF AGGRAVATED ROBBERY ABOVE,,,,,,,,,,
Carjacking,5,6,1,10,9,8,6,3,2,3
Truck hijacking,0,1,2,8,6,1,1,6,1,1
Robbery at residential premises,0,2,1,0,7,19,29,17,23,28
Robbery at non-residential premises,0,0,0,0,5,8,17,12,18,26
OTHER CRIME CATEGORIES,,,,,,,,,,
Culpable homicide,33,21,34,38,27,43,29,26,26,30
Public violence,0,0,0,1,2,1,2,4,1,9
Crimen injuria,124,141,68,86,93,34,48,37,32,42
Neglect and ill-treatment of children ,6,2,3,2,3,8,5,5,8,5
Kidnapping,5,13,3,5,3,9,2,8,11,16
,,,,,,,,,,
,,,,,,,,,,
Crime Research and Statistics -South African Police Service,,,,,,,,,,
,,,,,,,,,,
Crime in  Evander (MP)  for April to March 2003/2004 - 2012/2013,,,,,,,,,,
,,,,,,,,,,
-,,,,,,,,,,
,,,,,,,,,,
Crime Category,April 2003 to March 2004,April 2004 to March 2005,April 2005 to March 2006,April 2006 to March 2007,April 2007 to March 2008 ,April 2008 to March 2009 ,April 2009 to March 2010,April 2010 to March 2011,April 2011 to March 2012,April 2012 to March 2013
CONTACT CRIME (CRIMES AGAINST THE PERSON),,,,,,,,,,
Murder,4,6,6,8,6,7,11,6,1,2
Total Sexual Crimes,26,27,30,8,3,13,20,19,6,8
Attempted murder,11,9,5,3,3,3,8,2,2,0
Assault with the intent to inflict grievous bodily harm,68,78,50,43,37,50,44,43,30,33
Common assault,109,96,94,74,58,69,63,59,41,38
Common robbery,41,28,37,23,21,32,30,14,16,4
Robbery with aggravating circumstances,25,35,28,22,33,31,51,17,14,10
CONTACT-RELATED CRIMES,,,,,,,,,,
Arson,0,3,2,0,1,2,1,0,1,0
Malicious damage to property,65,49,59,47,48,52,54,32,19,20
PROPERTY-RELATED CRIMES,,,,,,,,,,
Burglary at non-residential premises,57,39,58,89,75,91,106,35,23,27
Burglary at residential premises,71,77,141,133,138,96,133,101,96,112
Theft of motor vehicle and motorcycle,58,45,29,29,39,39,36,49,28,31
Theft out of or from motor vehicle,38,30,45,28,44,61,37,38,20,33
Stock-theft,4,3,3,4,6,1,1,0,1,4
CRIMES HEAVILY DEPENDENT ON POLICE ACTION FOR DETECTION,,,,,,,,,,
Illegal possession of firearms and ammunition,1,0,2,3,1,1,1,4,3,1
Drug-related crime,10,5,15,12,7,16,15,11,28,52
Driving under the influence of alcohol or drugs,24,46,9,14,16,13,15,24,29,23
OTHER SERIOUS CRIMES,,,,,,,,,,
All theft not mentioned elsewhere,374,197,216,234,220,302,260,212,191,164
Commercial crime,46,36,36,33,34,24,36,25,52,46
Shoplifting,85,38,22,14,42,19,37,27,18,23
SUBCATEGORIES OF AGGRAVATED ROBBERY FORMING PART OF AGGRAVATED ROBBERY ABOVE,,,,,,,,,,
Carjacking,0,2,1,1,2,7,5,2,1,0
Truck hijacking,0,0,0,0,0,0,1,0,0,2
Robbery at residential premises,0,0,0,0,1,0,15,2,5,3
Robbery at non-residential premises,0,0,0,0,6,7,10,6,0,4
OTHER CRIME CATEGORIES,,,,,,,,,,
Culpable homicide,10,11,7,17,9,8,17,13,13,13
Public violence,0,0,0,0,0,0,0,0,0,0
Crimen injuria,35,32,26,18,11,5,19,8,5,4
Neglect and ill-treatment of children ,2,2,8,0,0,0,0,0,0,0
Kidnapping,0,1,1,0,0,0,1,1,0,1
,,,,,,,,,,
,,,,,,,,,,
Crime Research and Statistics -South African Police Service,,,,,,,,,,
,,,,,,,,,,
Crime in  Fernie (MP)  for April to March 2003/2004 - 2012/2013,,,,,,,,,,
,,,,,,,,,,
-,,,,,,,,,,
,,,,,,,,,,
Crime Category,April 2003 to March 2004,April 2004 to March 2005,April 2005 to March 2006,April 2006 to March 2007,April 2007 to March 2008 ,April 2008 to March 2009 ,April 2009 to March 2010,April 2010 to March 2011,April 2011 to March 2012,April 2012 to March 2013
CONTACT CRIME (CRIMES AGAINST THE PERSON),,,,,,,,,,
Murder,6,18,8,6,5,7,2,2,5,4
Total Sexual Crimes,24,68,30,19,15,11,13,19,15,15
Attempted murder,7,9,7,1,2,2,6,5,2,4
Assault with the intent to inflict grievous bodily harm,105,126,77,41,30,42,54,41,32,54
Common assault,27,47,16,12,3,7,9,11,2,5
Common robbery,12,7,11,3,3,12,6,1,0,6
Robbery with aggravating circumstances,11,24,20,10,3,13,9,1,4,7
CONTACT-RELATED CRIMES,,,,,,,,,,
Arson,2,0,2,2,1,3,6,0,0,4
Malicious damage to property,17,37,17,6,6,5,7,7,8,7
PROPERTY-RELATED CRIMES,,,,,,,,,,
Burglary at non-residential premises,5,16,3,2,2,5,5,1,1,2
Burglary at residential premises,83,133,74,27,18,33,45,31,31,38
Theft of motor vehicle and motorcycle,6,5,2,1,2,2,1,1,1,2
Theft out of or from motor vehicle,10,13,3,3,1,1,3,0,3,9
Stock-theft,51,98,8,23,15,36,29,41,41,51
CRIMES HEAVILY DEPENDENT ON POLICE ACTION FOR DETECTION,,,,,,,,,,
Illegal possession of firearms and ammunition,3,13,3,7,7,3,5,3,1,0
Drug-related crime,2,11,16,29,21,11,10,6,13,31
Driving under the influence of alcohol or drugs,0,1,0,4,0,0,1,1,0,0
OTHER SERIOUS CRIMES,,,,,,,,,,
All theft not mentioned elsewhere,39,46,26,9,11,10,15,22,15,13
Commercial crime,3,2,0,2,1,0,5,2,4,3
Shoplifting,0,0,0,0,0,0,0,0,0,0
SUBCATEGORIES OF AGGRAVATED ROBBERY FORMING PART OF AGGRAVATED ROBBERY ABOVE,,,,,,,,,,
Carjacking,0,1,0,0,0,0,1,0,0,0
Truck hijacking,0,0,0,0,0,0,0,0,0,0
Robbery at residential premises,6,7,0,1,1,4,2,0,0,3
Robbery at non-residential premises,0,3,0,0,0,3,2,1,1,2
OTHER CRIME CATEGORIES,,,,,,,,,,
Culpable homicide,1,3,2,0,2,2,1,1,3,5
Public violence,0,0,0,2,0,0,0,0,0,1
Crimen injuria,3,4,2,0,0,1,1,1,0,0
Neglect and ill-treatment of children ,4,1,0,1,0,0,0,1,2,1
Kidnapping,0,0,0,0,0,0,1,0,0,0
,,,,,,,,,,
,,,,,,,,,,
Crime Research and Statistics -South African Police Service,,,,,,,,,,
,,,,,,,,,,
Crime in  Graskop (MP)  for April to March 2003/2004 - 2012/2013,,,,,,,,,,
,,,,,,,,,,
-,,,,,,,,,,
,,,,,,,,,,
Crime Category,April 2003 to March 2004,April 2004 to March 2005,April 2005 to March 2006,April 2006 to March 2007,April 2007 to March 2008 ,April 2008 to March 2009 ,April 2009 to March 2010,April 2010 to March 2011,April 2011 to March 2012,April 2012 to March 2013
CONTACT CRIME (CRIMES AGAINST THE PERSON),,,,,,,,,,
Murder,4,4,1,3,3,0,2,1,2,2
Total Sexual Crimes,10,8,15,14,8,9,10,4,1,6
Attempted murder,10,4,9,7,12,8,5,3,0,0
Assault with the intent to inflict grievous bodily harm,50,58,50,51,41,32,38,31,10,17
Common assault,69,57,65,50,40,16,12,12,7,4
Common robbery,10,8,13,19,21,11,4,3,1,1
Robbery with aggravating circumstances,15,18,20,15,24,24,15,13,9,12
CONTACT-RELATED CRIMES,,,,,,,,,,
Arson,5,4,7,3,6,3,2,0,2,0
Malicious damage to property,36,13,28,33,32,40,14,6,9,18
PROPERTY-RELATED CRIMES,,,,,,,,,,
Burglary at non-residential premises,22,19,27,27,29,26,23,22,16,16
Burglary at residential premises,107,94,79,90,68,63,38,24,25,35
Theft of motor vehicle and motorcycle,12,29,22,11,16,14,9,3,2,5
Theft out of or from motor vehicle,43,32,36,38,22,31,10,11,3,11
Stock-theft,3,3,1,1,0,0,0,1,0,0
CRIMES HEAVILY DEPENDENT ON POLICE ACTION FOR DETECTION,,,,,,,,,,
Illegal possession of firearms and ammunition,1,4,1,0,3,1,1,4,2,3
Drug-related crime,9,19,11,7,7,3,1,18,29,48
Driving under the influence of alcohol or drugs,3,3,2,3,4,1,4,5,3,3
OTHER SERIOUS CRIMES,,,,,,,,,,
All theft not mentioned elsewhere,165,146,135,115,127,75,69,58,41,68
Commercial crime,8,10,7,14,19,10,11,8,10,12
Shoplifting,30,26,30,32,24,31,29,19,10,4
SUBCATEGORIES OF AGGRAVATED ROBBERY FORMING PART OF AGGRAVATED ROBBERY ABOVE,,,,,,,,,,
Carjacking,4,4,0,1,7,9,3,1,2,1
Truck hijacking,0,1,0,0,0,0,0,0,0,0
Robbery at residential premises,0,0,1,0,1,3,2,5,2,1
Robbery at non-residential premises,0,0,0,0,1,3,0,2,2,3
OTHER CRIME CATEGORIES,,,,,,,,,,
Culpable homicide,10,9,6,4,7,6,2,6,9,2
Public violence,0,0,0,0,0,0,0,0,0,0
Crimen injuria,14,15,18,17,9,3,1,0,3,1
Neglect and ill-treatment of children ,2,2,2,0,0,1,0,0,0,0
Kidnapping,0,0,0,0,0,0,0,1,0,0
,,,,,,,,,,
,,,,,,,,,,
Crime Research and Statistics -South African Police Service,,,,,,,,,,
,,,,,,,,,,
Crime in  Greylingstad (MP)  for April to March 2003/2004 - 2012/2013,,,,,,,,,,
,,,,,,,,,,
-,,,,,,,,,,
,,,,,,,,,,
Crime Category,April 2003 to March 2004,April 2004 to March 2005,April 2005 to March 2006,April 2006 to March 2007,April 2007 to March 2008 ,April 2008 to March 2009 ,April 2009 to March 2010,April 2010 to March 2011,April 2011 to March 2012,April 2012 to March 2013
CONTACT CRIME (CRIMES AGAINST THE PERSON),,,,,,,,,,
Murder,2,5,1,2,6,1,1,2,1,1
Total Sexual Crimes,13,16,17,14,8,10,7,21,12,10
Attempted murder,4,5,3,2,3,3,3,4,1,1
Assault with the intent to inflict grievous bodily harm,44,57,59,68,54,54,54,50,54,29
Common assault,36,34,33,34,45,27,36,44,34,32
Common robbery,4,11,7,6,10,4,14,7,3,4
Robbery with aggravating circumstances,6,9,5,7,7,9,7,7,7,12
CONTACT-RELATED CRIMES,,,,,,,,,,
Arson,0,1,2,3,3,3,2,7,2,2
Malicious damage to property,13,25,33,32,36,23,21,21,31,19
PROPERTY-RELATED CRIMES,,,,,,,,,,
Burglary at non-residential premises,10,13,7,4,13,10,3,5,10,9
Burglary at residential premises,50,37,60,80,63,63,88,77,65,56
Theft of motor vehicle and motorcycle,5,2,7,2,4,8,2,9,0,6
Theft out of or from motor vehicle,11,2,3,12,5,14,9,4,6,12
Stock-theft,27,17,8,12,15,18,50,33,23,15
CRIMES HEAVILY DEPENDENT ON POLICE ACTION FOR DETECTION,,,,,,,,,,
Illegal possession of firearms and ammunition,0,0,1,0,2,0,3,3,1,0
Drug-related crime,1,1,12,1,2,1,8,8,4,8
Driving under the influence of alcohol or drugs,2,4,2,3,1,2,4,3,14,11
OTHER SERIOUS CRIMES,,,,,,,,,,
All theft not mentioned elsewhere,80,66,73,97,82,72,93,87,59,62
Commercial crime,1,0,1,1,1,1,4,6,2,5
Shoplifting,0,0,1,0,0,0,0,0,0,0
SUBCATEGORIES OF AGGRAVATED ROBBERY FORMING PART OF AGGRAVATED ROBBERY ABOVE,,,,,,,,,,
Carjacking,0,0,1,0,0,1,0,2,1,1
Truck hijacking,1,3,1,0,1,2,1,0,2,6
Robbery at residential premises,0,0,0,0,2,3,0,1,0,1
Robbery at non-residential premises,0,0,0,0,0,0,1,1,1,3
OTHER CRIME CATEGORIES,,,,,,,,,,
Culpable homicide,6,8,12,6,11,14,8,6,5,7
Public violence,0,0,1,0,0,1,1,0,0,0
Crimen injuria,4,13,9,9,7,12,14,5,16,8
Neglect and ill-treatment of children ,1,3,3,1,1,0,1,2,0,0
Kidnapping,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,
,,,,,,,,,,
Crime Research and Statistics -South African Police Service,,,,,,,,,,
,,,,,,,,,,
Crime in  Grootvlei (MP)  for April to March 2003/2004 - 2012/2013,,,,,,,,,,
,,,,,,,,,,
-,,,,,,,,,,
,,,,,,,,,,
Crime Category,April 2003 to March 2004,April 2004 to March 2005,April 2005 to March 2006,April 2006 to March 2007,April 2007 to March 2008 ,April 2008 to March 2009 ,April 2009 to March 2010,April 2010 to March 2011,April 2011 to March 2012,April 2012 to March 2013
CONTACT CRIME (CRIMES AGAINST THE PERSON),,,,,,,,,,
Murder,1,5,3,2,1,5,2,3,3,0
Total Sexual Crimes,7,9,5,9,6,12,12,11,8,12
Attempted murder,1,5,1,2,3,2,2,6,1,0
Assault with the intent to inflict grievous bodily harm,31,32,34,63,33,27,43,35,23,16
Common assault,24,49,35,48,35,35,16,12,26,25
Common robbery,2,2,4,7,4,7,9,2,5,6
Robbery with aggravating circumstances,14,17,26,23,19,32,26,21,30,31
CONTACT-RELATED CRIMES,,,,,,,,,,
Arson,0,0,1,5,1,0,2,1,1,0
Malicious damage to property,17,26,22,32,24,17,11,11,20,20
PROPERTY-RELATED CRIMES,,,,,,,,,,
Burglary at non-residential premises,8,11,15,11,10,11,7,12,15,5
Burglary at residential premises,42,39,57,28,52,30,38,42,91,33
Theft of motor vehicle and motorcycle,8,7,7,10,12,31,8,16,18,7
Theft out of or from motor vehicle,23,18,42,60,58,58,38,40,45,28
Stock-theft,33,22,21,14,19,19,23,16,27,15
CRIMES HEAVILY DEPENDENT ON POLICE ACTION FOR DETECTION,,,,,,,,,,
Illegal possession of firearms and ammunition,2,0,0,0,0,0,2,3,1,1
Drug-related crime,3,2,6,9,11,17,15,9,9,14
Driving under the influence of alcohol or drugs,5,5,7,7,5,6,3,6,9,12
OTHER SERIOUS CRIMES,,,,,,,,,,
All theft not mentioned elsewhere,72,66,92,95,126,97,93,79,92,58
Commercial crime,5,4,10,4,7,6,11,7,7,5
Shoplifting,1,1,0,2,2,1,0,0,0,0
SUBCATEGORIES OF AGGRAVATED ROBBERY FORMING PART OF AGGRAVATED ROBBERY ABOVE,,,,,,,,,,
Carjacking,0,1,3,0,0,1,0,3,3,0
Truck hijacking,8,11,18,10,12,19,15,7,16,22
Robbery at residential premises,0,0,0,0,1,0,0,1,1,1
Robbery at non-residential premises,0,0,0,2,1,1,0,0,6,2
OTHER CRIME CATEGORIES,,,,,,,,,,
Culpable homicide,14,9,17,13,20,22,21,18,11,11
Public violence,0,0,0,0,0,0,1,0,0,1
Crimen injuria,12,8,9,11,9,6,3,2,6,2
Neglect and ill-treatment of children ,0,0,0,0,0,0,0,0,0,0
Kidnapping,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,
,,,,,,,,,,
Crime Research and Statistics -South African Police Service,,,,,,,,,,
,,,,,,,,,,
Crime in  Hartebeeskop (MP)  for April to March 2003/2004 - 2012/2013,,,,,,,,,,
,,,,,,,,,,
-,,,,,,,,,,
,,,,,,,,,,
Crime Category,April 2003 to March 2004,April 2004 to March 2005,April 2005 to March 2006,April 2006 to March 2007,April 2007 to March 2008 ,April 2008 to March 2009 ,April 2009 to March 2010,April 2010 to March 2011,April 2011 to March 2012,April 2012 to March 2013
CONTACT CRIME (CRIMES AGAINST THE PERSON),,,,,,,,,,
Murder,3,9,2,1,1,2,2,2,3,1
Total Sexual Crimes,19,23,16,21,15,22,18,13,9,14
Attempted murder,4,2,2,2,1,0,6,1,2,1
Assault with the intent to inflict grievous bodily harm,33,43,52,51,52,48,52,33,21,14
Common assault,28,22,15,11,9,9,12,14,6,8
Common robbery,0,14,5,4,3,7,14,10,6,4
Robbery with aggravating circumstances,5,10,12,7,3,3,17,7,10,5
CONTACT-RELATED CRIMES,,,,,,,,,,
Arson,2,4,1,2,0,3,4,0,0,3
Malicious damage to property,7,13,20,15,11,20,19,21,5,4
