Crime Research and Statistics -South African Police Service,,,,,,,,,,
,,,,,,,,,,
Crime in  Free State Provincial Total  for April to March 2003/2004 - 2012/2013,,,,,,,,,,
,,,,,,,,,,
-,,,,,,,,,,
,,,,,,,,,,
Crime Category,April 2003 to March 2004,April 2004 to March 2005,April 2005 to March 2006,April 2006 to March 2007,April 2007 to March 2008 ,April 2008 to March 2009 ,April 2009 to March 2010,April 2010 to March 2011,April 2011 to March 2012,April 2012 to March 2013
Carjacking,0,0,0,1,0,0,0,0,0,0
Truck hijacking,0,0,0,0,0,0,0,0,0,0
Robbery at residential premises,0,1,0,0,1,0,0,6,1,1
Robbery at non-residential premises,0,0,0,0,0,0,2,0,0,3
OTHER CRIME CATEGORIES,,,,,,,,,,
Culpable homicide,2,1,3,1,1,1,2,1,4,1
Public violence,0,0,0,0,1,1,0,0,0,1
Crimen injuria,13,34,15,30,25,20,18,18,16,16
Neglect and ill-treatment of children ,0,0,0,1,3,1,0,1,0,1
Kidnapping,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,
,,,,,,,,,,
Crime Research and Statistics -South African Police Service,,,,,,,,,,
,,,,,,,,,,
Crime in  Fauresmith (FS)  for April to March 2003/2004 - 2012/2013,,,,,,,,,,
,,,,,,,,,,
-,,,,,,,,,,
,,,,,,,,,,
Crime Category,April 2003 to March 2004,April 2004 to March 2005,April 2005 to March 2006,April 2006 to March 2007,April 2007 to March 2008 ,April 2008 to March 2009 ,April 2009 to March 2010,April 2010 to March 2011,April 2011 to March 2012,April 2012 to March 2013
CONTACT CRIME (CRIMES AGAINST THE PERSON),,,,,,,,,,
Murder,2,2,2,2,1,1,2,2,1,1
Total Sexual Crimes,14,4,9,8,5,6,5,5,8,5
Attempted murder,3,0,1,0,0,1,0,0,1,0
Assault with the intent to inflict grievous bodily harm,39,39,56,32,36,20,26,18,25,18
Common assault,73,50,41,27,46,17,16,11,7,10
Common robbery,4,3,2,1,1,1,1,0,0,1
Robbery with aggravating circumstances,2,0,0,0,0,0,0,2,3,0
CONTACT-RELATED CRIMES,,,,,,,,,,
Arson,0,1,0,1,1,1,1,1,0,0
Malicious damage to property,10,14,8,9,8,14,5,3,11,11
PROPERTY-RELATED CRIMES,,,,,,,,,,
Burglary at non-residential premises,5,9,6,6,7,2,6,2,12,9
Burglary at residential premises,36,26,20,25,18,17,15,11,15,17
Theft of motor vehicle and motorcycle,3,1,1,3,3,0,1,0,0,0
Theft out of or from motor vehicle,4,4,2,3,7,1,0,1,2,0
Stock-theft,33,30,25,36,13,12,18,20,14,19
CRIMES HEAVILY DEPENDENT ON POLICE ACTION FOR DETECTION,,,,,,,,,,
Illegal possession of firearms and ammunition,3,0,0,0,0,0,0,0,0,1
Drug-related crime,12,6,10,6,8,7,2,5,8,6
Driving under the influence of alcohol or drugs,2,8,2,3,4,3,1,1,0,0
OTHER SERIOUS CRIMES,,,,,,,,,,
All theft not mentioned elsewhere,33,31,24,30,29,12,20,11,14,12
Commercial crime,1,0,0,0,1,0,3,0,1,1
Shoplifting,4,10,7,6,1,2,6,3,0,0
SUBCATEGORIES OF AGGRAVATED ROBBERY FORMING PART OF AGGRAVATED ROBBERY ABOVE,,,,,,,,,,
Carjacking,0,0,0,0,0,0,0,0,0,0
Truck hijacking,0,0,0,0,0,0,0,0,0,0
Robbery at residential premises,1,0,0,0,0,0,0,1,0,0
Robbery at non-residential premises,0,0,0,0,0,0,0,1,3,0
OTHER CRIME CATEGORIES,,,,,,,,,,
Culpable homicide,3,1,1,2,0,2,1,2,0,1
Public violence,0,0,0,0,0,0,0,0,0,0
Crimen injuria,23,25,13,13,8,5,4,2,6,1
Neglect and ill-treatment of children ,0,1,0,1,0,0,0,1,0,0
Kidnapping,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,
,,,,,,,,,,
Crime Research and Statistics -South African Police Service,,,,,,,,,,
,,,,,,,,,,
Crime in  Ficksburg (FS)  for April to March 2003/2004 - 2012/2013,,,,,,,,,,
,,,,,,,,,,
-,,,,,,,,,,
,,,,,,,,,,
Crime Category,April 2003 to March 2004,April 2004 to March 2005,April 2005 to March 2006,April 2006 to March 2007,April 2007 to March 2008 ,April 2008 to March 2009 ,April 2009 to March 2010,April 2010 to March 2011,April 2011 to March 2012,April 2012 to March 2013
CONTACT CRIME (CRIMES AGAINST THE PERSON),,,,,,,,,,
Murder,18,7,14,3,21,8,12,7,13,14
Total Sexual Crimes,65,79,79,61,47,67,56,70,67,65
Attempted murder,8,20,12,9,16,16,8,8,20,13
Assault with the intent to inflict grievous bodily harm,249,259,202,203,199,217,214,277,218,236
Common assault,378,357,319,296,250,283,340,258,249,269
Common robbery,28,44,39,54,35,20,28,19,33,43
Robbery with aggravating circumstances,38,44,43,52,43,49,49,50,79,71
CONTACT-RELATED CRIMES,,,,,,,,,,
Arson,10,4,14,13,7,6,13,15,9,14
Malicious damage to property,155,156,151,191,127,161,194,194,173,158
PROPERTY-RELATED CRIMES,,,,,,,,,,
Burglary at non-residential premises,68,81,86,47,104,84,114,121,56,126
Burglary at residential premises,406,404,357,317,270,261,336,337,376,437
Theft of motor vehicle and motorcycle,26,27,34,12,31,27,28,24,32,23
Theft out of or from motor vehicle,187,92,102,120,73,63,36,67,73,81
Stock-theft,73,71,71,71,85,104,95,92,65,76
CRIMES HEAVILY DEPENDENT ON POLICE ACTION FOR DETECTION,,,,,,,,,,
Illegal possession of firearms and ammunition,27,11,13,9,9,8,7,7,9,7
Drug-related crime,290,265,374,226,181,167,201,135,113,215
Driving under the influence of alcohol or drugs,10,13,16,10,7,1,4,4,4,3
OTHER SERIOUS CRIMES,,,,,,,,,,
All theft not mentioned elsewhere,664,454,461,344,306,397,393,329,312,287
Commercial crime,48,62,158,63,41,62,90,65,75,68
Shoplifting,88,71,78,81,80,93,114,44,52,88
SUBCATEGORIES OF AGGRAVATED ROBBERY FORMING PART OF AGGRAVATED ROBBERY ABOVE,,,,,,,,,,
Carjacking,0,0,1,0,3,2,1,1,0,1
Truck hijacking,0,0,1,0,0,0,1,0,0,0
Robbery at residential premises,3,3,1,0,2,8,13,11,26,18
Robbery at non-residential premises,0,0,0,0,4,0,6,16,13,12
OTHER CRIME CATEGORIES,,,,,,,,,,
Culpable homicide,7,6,10,11,5,7,11,6,6,11
Public violence,1,1,1,0,0,0,1,3,2,0
Crimen injuria,88,74,84,65,60,54,79,45,65,62
Neglect and ill-treatment of children ,9,5,9,13,8,7,18,10,5,1
Kidnapping,1,0,0,0,0,0,0,1,3,1
,,,,,,,,,,
,,,,,,,,,,
Crime Research and Statistics -South African Police Service,,,,,,,,,,
,,,,,,,,,,
Crime in  Fouriesburg (FS)  for April to March 2003/2004 - 2012/2013,,,,,,,,,,
,,,,,,,,,,
-,,,,,,,,,,
,,,,,,,,,,
Crime Category,April 2003 to March 2004,April 2004 to March 2005,April 2005 to March 2006,April 2006 to March 2007,April 2007 to March 2008 ,April 2008 to March 2009 ,April 2009 to March 2010,April 2010 to March 2011,April 2011 to March 2012,April 2012 to March 2013
CONTACT CRIME (CRIMES AGAINST THE PERSON),,,,,,,,,,
Murder,3,4,4,3,2,1,2,3,6,2
Total Sexual Crimes,24,25,24,24,16,29,20,19,17,26
Attempted murder,8,6,3,9,4,1,5,3,6,3
Assault with the intent to inflict grievous bodily harm,138,134,120,95,97,110,61,64,63,75
Common assault,90,84,98,86,73,68,46,41,35,35
Common robbery,10,6,6,4,6,7,4,7,1,3
Robbery with aggravating circumstances,5,4,5,3,8,3,7,6,8,16
CONTACT-RELATED CRIMES,,,,,,,,,,
Arson,1,6,5,1,1,4,3,2,2,1
Malicious damage to property,44,45,50,47,46,42,33,36,44,29
PROPERTY-RELATED CRIMES,,,,,,,,,,
Burglary at non-residential premises,31,26,23,31,20,24,9,20,23,23
Burglary at residential premises,101,97,107,108,121,99,65,84,50,58
Theft of motor vehicle and motorcycle,18,17,12,6,5,3,2,9,6,1
Theft out of or from motor vehicle,19,12,20,17,15,8,10,11,12,6
Stock-theft,91,50,40,58,76,94,78,64,83,69
CRIMES HEAVILY DEPENDENT ON POLICE ACTION FOR DETECTION,,,,,,,,,,
Illegal possession of firearms and ammunition,9,4,0,6,2,3,3,0,0,1
Drug-related crime,110,100,73,59,45,44,40,26,20,69
Driving under the influence of alcohol or drugs,4,4,1,5,0,6,5,6,2,13
OTHER SERIOUS CRIMES,,,,,,,,,,
All theft not mentioned elsewhere,120,96,116,91,100,110,79,59,65,71
Commercial crime,8,11,34,7,12,11,6,7,8,8
Shoplifting,3,5,1,2,1,6,4,1,0,1
SUBCATEGORIES OF AGGRAVATED ROBBERY FORMING PART OF AGGRAVATED ROBBERY ABOVE,,,,,,,,,,
Carjacking,1,0,0,0,0,0,2,1,1,1
Truck hijacking,0,0,0,0,0,0,0,0,0,0
Robbery at residential premises,0,0,0,0,0,0,1,0,1,4
Robbery at non-residential premises,0,0,0,0,3,2,3,4,6,7
OTHER CRIME CATEGORIES,,,,,,,,,,
Culpable homicide,4,5,4,6,5,4,8,6,2,5
Public violence,0,1,0,0,0,2,0,0,2,0
Crimen injuria,16,29,38,27,25,20,19,3,8,5
Neglect and ill-treatment of children ,2,1,1,0,3,1,1,1,1,5
Kidnapping,0,0,0,1,0,0,0,0,1,0
,,,,,,,,,,
,,,,,,,,,,
Crime Research and Statistics -South African Police Service,,,,,,,,,,
,,,,,,,,,,
Crime in  Gariepdam (FS)  for April to March 2003/2004 - 2012/2013,,,,,,,,,,
,,,,,,,,,,
Gariepdam was previously named Hendrik Verwoerddam,,,,,,,,,,
,,,,,,,,,,
Crime Category,April 2003 to March 2004,April 2004 to March 2005,April 2005 to March 2006,April 2006 to March 2007,April 2007 to March 2008 ,April 2008 to March 2009 ,April 2009 to March 2010,April 2010 to March 2011,April 2011 to March 2012,April 2012 to March 2013
CONTACT CRIME (CRIMES AGAINST THE PERSON),,,,,,,,,,
Murder,0,0,1,1,0,0,1,1,0,0
Total Sexual Crimes,2,5,5,2,1,7,1,4,1,1
Attempted murder,1,2,0,0,2,1,0,0,0,0
Assault with the intent to inflict grievous bodily harm,17,12,16,22,16,22,16,11,14,14
Common assault,19,19,17,24,24,20,16,24,11,10
Common robbery,0,1,1,0,0,0,0,0,2,0
Robbery with aggravating circumstances,1,0,1,1,0,1,1,0,0,0
CONTACT-RELATED CRIMES,,,,,,,,,,
Arson,1,0,0,0,2,0,0,0,0,1
Malicious damage to property,5,8,13,4,7,8,6,4,0,9
PROPERTY-RELATED CRIMES,,,,,,,,,,
Burglary at non-residential premises,5,2,1,5,4,4,4,3,0,5
Burglary at residential premises,17,11,9,15,5,12,10,12,12,7
Theft of motor vehicle and motorcycle,4,6,3,0,2,0,2,2,1,5
Theft out of or from motor vehicle,4,2,0,3,2,1,3,1,1,4
Stock-theft,6,4,5,6,3,5,2,6,11,9
CRIMES HEAVILY DEPENDENT ON POLICE ACTION FOR DETECTION,,,,,,,,,,
Illegal possession of firearms and ammunition,0,0,0,1,0,0,0,0,0,0
Drug-related crime,2,4,3,2,4,4,4,2,4,2
Driving under the influence of alcohol or drugs,1,0,0,2,3,3,2,2,1,1
OTHER SERIOUS CRIMES,,,,,,,,,,
All theft not mentioned elsewhere,22,26,34,12,10,14,17,14,9,11
Commercial crime,2,4,1,0,2,2,0,0,1,0
Shoplifting,1,2,0,1,0,0,2,0,0,1
SUBCATEGORIES OF AGGRAVATED ROBBERY FORMING PART OF AGGRAVATED ROBBERY ABOVE,,,,,,,,,,
Carjacking,0,0,0,0,0,0,0,0,0,0
Truck hijacking,0,0,0,0,0,0,0,0,0,0
Robbery at residential premises,0,0,0,0,0,1,1,0,0,0
Robbery at non-residential premises,0,0,0,0,0,0,0,0,0,0
OTHER CRIME CATEGORIES,,,,,,,,,,
Culpable homicide,0,1,0,1,4,5,5,4,2,2
Public violence,1,0,1,0,0,0,0,0,0,0
Crimen injuria,6,10,11,14,11,3,9,4,7,7
Neglect and ill-treatment of children ,0,0,0,1,1,2,2,0,1,1
Kidnapping,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,
,,,,,,,,,,
Crime Research and Statistics -South African Police Service,,,,,,,,,,
,,,,,,,,,,
Crime in  Glen (FS)  for April to March 2003/2004 - 2012/2013,,,,,,,,,,
,,,,,,,,,,
-,,,,,,,,,,
,,,,,,,,,,
Crime Category,April 2003 to March 2004,April 2004 to March 2005,April 2005 to March 2006,April 2006 to March 2007,April 2007 to March 2008 ,April 2008 to March 2009 ,April 2009 to March 2010,April 2010 to March 2011,April 2011 to March 2012,April 2012 to March 2013
CONTACT CRIME (CRIMES AGAINST THE PERSON),,,,,,,,,,
Murder,1,1,2,0,0,1,1,1,2,0
Total Sexual Crimes,8,7,9,6,7,5,10,2,3,6
Attempted murder,1,0,3,3,2,0,1,0,1,0
Assault with the intent to inflict grievous bodily harm,29,22,24,28,22,25,29,29,27,29
Common assault,26,19,22,17,22,21,21,17,18,13
Common robbery,0,1,2,1,0,1,3,7,2,1
Robbery with aggravating circumstances,0,1,1,4,1,0,5,2,6,0
CONTACT-RELATED CRIMES,,,,,,,,,,
Arson,0,1,1,1,0,1,0,0,1,0
Malicious damage to property,14,7,11,14,14,16,7,11,8,10
PROPERTY-RELATED CRIMES,,,,,,,,,,
Burglary at non-residential premises,3,4,1,0,1,2,2,1,2,3
Burglary at residential premises,39,35,33,23,36,40,33,20,24,27
Theft of motor vehicle and motorcycle,7,5,2,1,0,2,1,3,3,1
Theft out of or from motor vehicle,7,7,7,3,4,0,1,3,3,6
Stock-theft,31,43,37,32,27,33,19,14,26,21
CRIMES HEAVILY DEPENDENT ON POLICE ACTION FOR DETECTION,,,,,,,,,,
Illegal possession of firearms and ammunition,0,0,1,2,0,1,0,0,0,0
Drug-related crime,3,4,2,2,6,1,6,5,3,4
Driving under the influence of alcohol or drugs,4,4,0,5,5,7,4,4,2,3
OTHER SERIOUS CRIMES,,,,,,,,,,
All theft not mentioned elsewhere,55,54,45,44,66,57,43,52,33,40
Commercial crime,2,5,2,12,3,1,5,1,5,7
Shoplifting,0,0,0,0,0,0,0,0,0,1
SUBCATEGORIES OF AGGRAVATED ROBBERY FORMING PART OF AGGRAVATED ROBBERY ABOVE,,,,,,,,,,
Carjacking,0,0,0,1,0,0,0,0,2,0
Truck hijacking,0,0,0,0,0,0,0,0,0,0
Robbery at residential premises,0,0,0,0,0,0,0,0,1,0
Robbery at non-residential premises,0,0,0,0,0,0,2,0,1,0
OTHER CRIME CATEGORIES,,,,,,,,,,
Culpable homicide,7,11,9,4,10,7,6,10,9,7
Public violence,1,0,0,0,0,0,0,0,0,1
Crimen injuria,3,6,4,6,8,2,8,3,3,1
Neglect and ill-treatment of children ,0,0,1,0,2,0,0,0,0,1
Kidnapping,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,
,,,,,,,,,,
Crime Research and Statistics -South African Police Service,,,,,,,,,,
,,,,,,,,,,
Crime in  Goedemoed (FS)  for April to March 2003/2004 - 2012/2013,,,,,,,,,,
,,,,,,,,,,
-,,,,,,,,,,
,,,,,,,,,,
Crime Category,April 2003 to March 2004,April 2004 to March 2005,April 2005 to March 2006,April 2006 to March 2007,April 2007 to March 2008 ,April 2008 to March 2009 ,April 2009 to March 2010,April 2010 to March 2011,April 2011 to March 2012,April 2012 to March 2013
CONTACT CRIME (CRIMES AGAINST THE PERSON),,,,,,,,,,
Murder,1,0,0,0,0,0,2,1,0,0
Total Sexual Crimes,1,5,2,4,2,4,2,1,2,1
Attempted murder,4,1,4,1,0,1,0,0,1,1
Assault with the intent to inflict grievous bodily harm,50,28,27,24,38,28,33,38,36,22
Common assault,47,28,42,17,16,17,17,15,16,27
Common robbery,2,2,1,0,0,0,0,0,0,0
Robbery with aggravating circumstances,0,2,0,0,0,0,0,0,1,1
CONTACT-RELATED CRIMES,,,,,,,,,,
Arson,2,0,1,1,4,4,2,0,0,0
Malicious damage to property,10,5,5,8,6,5,7,5,2,7
PROPERTY-RELATED CRIMES,,,,,,,,,,
Burglary at non-residential premises,0,1,1,2,0,0,1,0,0,0
Burglary at residential premises,10,17,10,6,7,8,3,4,3,7
Theft of motor vehicle and motorcycle,0,0,1,1,0,0,0,0,0,0
Theft out of or from motor vehicle,1,1,0,2,1,0,2,0,2,1
Stock-theft,26,15,37,21,29,25,14,7,11,10
CRIMES HEAVILY DEPENDENT ON POLICE ACTION FOR DETECTION,,,,,,,,,,
Illegal possession of firearms and ammunition,0,0,2,0,0,0,0,0,0,0
Drug-related crime,5,7,9,6,13,15,6,12,18,24
Driving under the influence of alcohol or drugs,0,1,0,0,1,2,2,0,0,0
OTHER SERIOUS CRIMES,,,,,,,,,,
All theft not mentioned elsewhere,43,28,39,15,19,2,11,11,22,25
Commercial crime,3,0,1,0,0,2,1,1,1,2
Shoplifting,0,0,0,0,0,1,0,0,0,0
SUBCATEGORIES OF AGGRAVATED ROBBERY FORMING PART OF AGGRAVATED ROBBERY ABOVE,,,,,,,,,,
Carjacking,0,0,0,0,0,0,0,0,0,0
Truck hijacking,0,0,0,0,0,0,0,0,0,0
Robbery at residential premises,0,1,0,0,0,0,0,0,1,0
Robbery at non-residential premises,0,0,0,0,0,0,0,0,0,0
OTHER CRIME CATEGORIES,,,,,,,,,,
Culpable homicide,0,0,0,1,0,0,0,0,0,1
Public violence,0,0,0,0,0,0,0,0,0,0
Crimen injuria,16,11,8,4,4,3,7,3,2,4
Neglect and ill-treatment of children ,0,0,0,0,0,0,0,0,0,0
Kidnapping,0,0,0,0,0,0,0,0,1,0
,,,,,,,,,,
,,,,,,,,,,
Crime Research and Statistics -South African Police Service,,,,,,,,,,
,,,,,,,,,,
Crime in  Harrismith (FS)  for April to March 2003/2004 - 2012/2013,,,,,,,,,,
,,,,,,,,,,
-,,,,,,,,,,
,,,,,,,,,,
Crime Category,April 2003 to March 2004,April 2004 to March 2005,April 2005 to March 2006,April 2006 to March 2007,April 2007 to March 2008 ,April 2008 to March 2009 ,April 2009 to March 2010,April 2010 to March 2011,April 2011 to March 2012,April 2012 to March 2013
CONTACT CRIME (CRIMES AGAINST THE PERSON),,,,,,,,,,
Murder,10,15,17,26,16,17,25,21,22,17
Total Sexual Crimes,53,59,77,81,63,80,89,85,85,105
Attempted murder,14,16,13,11,15,19,17,14,14,16
Assault with the intent to inflict grievous bodily harm,278,227,262,257,318,271,357,291,304,277
Common assault,446,398,340,300,289,372,342,293,295,291
Common robbery,74,63,58,36,93,41,37,55,48,37
Robbery with aggravating circumstances,53,54,55,49,66,131,160,152,149,154
CONTACT-RELATED CRIMES,,,,,,,,,,
Arson,15,16,11,15,16,11,20,14,12,12
Malicious damage to property,269,228,191,195,235,217,262,209,180,198
PROPERTY-RELATED CRIMES,,,,,,,,,,
Burglary at non-residential premises,123,95,111,75,129,160,173,109,119,113
Burglary at residential premises,418,446,317,264,433,399,429,394,346,386
Theft of motor vehicle and motorcycle,30,59,48,31,20,57,45,46,40,40
Theft out of or from motor vehicle,152,147,114,151,124,141,152,126,140,174
Stock-theft,179,170,205,191,182,222,278,241,227,196
CRIMES HEAVILY DEPENDENT ON POLICE ACTION FOR DETECTION,,,,,,,,,,
Illegal possession of firearms and ammunition,17,6,23,24,6,12,11,23,10,6
Drug-related crime,74,135,185,101,83,60,62,61,47,86
Driving under the influence of alcohol or drugs,21,47,64,35,56,41,42,29,42,30
OTHER SERIOUS CRIMES,,,,,,,,,,
All theft not mentioned elsewhere,755,650,529,425,472,520,500,419,449,450
Commercial crime,73,61,64,48,66,75,55,276,306,108
Shoplifting,63,83,66,108,95,118,101,68,63,109
SUBCATEGORIES OF AGGRAVATED ROBBERY FORMING PART OF AGGRAVATED ROBBERY ABOVE,,,,,,,,,,
Carjacking,0,6,0,2,1,2,8,3,5,4
Truck hijacking,4,6,4,6,9,11,6,5,18,29
Robbery at residential premises,1,0,6,1,2,3,12,15,12,11
Robbery at non-residential premises,1,1,1,1,6,24,39,50,21,15
OTHER CRIME CATEGORIES,,,,,,,,,,
Culpable homicide,31,34,43,30,36,30,34,33,42,34
Public violence,0,9,1,0,1,1,5,0,5,1
Crimen injuria,51,72,48,49,49,59,68,56,63,51
Neglect and ill-treatment of children ,4,5,5,3,4,8,8,9,9,3
Kidnapping,3,5,3,3,3,2,10,10,8,9
,,,,,,,,,,
,,,,,,,,,,
Crime Research and Statistics -South African Police Service,,,,,,,,,,
,,,,,,,,,,
Crime in  Heidedal (FS)  for April to March 2003/2004 - 2012/2013,,,,,,,,,,
,,,,,,,,,,
-,,,,,,,,,,
,,,,,,,,,,
Crime Category,April 2003 to March 2004,April 2004 to March 2005,April 2005 to March 2006,April 2006 to March 2007,April 2007 to March 2008 ,April 2008 to March 2009 ,April 2009 to March 2010,April 2010 to March 2011,April 2011 to March 2012,April 2012 to March 2013
CONTACT CRIME (CRIMES AGAINST THE PERSON),,,,,,,,,,
Murder,13,15,14,9,9,9,9,8,6,9
Total Sexual Crimes,56,70,57,75,52,50,41,38,42,54
Attempted murder,9,18,8,22,9,10,7,6,10,12
Assault with the intent to inflict grievous bodily harm,291,317,332,342,356,292,278,263,269,237
Common assault,413,434,408,435,339,356,343,347,330,367
Common robbery,99,115,110,120,119,120,101,54,80,71
Robbery with aggravating circumstances,47,80,54,65,76,86,103,78,79,85
CONTACT-RELATED CRIMES,,,,,,,,,,
Arson,3,1,7,8,5,4,4,1,6,6
Malicious damage to property,173,192,198,190,218,199,201,175,204,163
PROPERTY-RELATED CRIMES,,,,,,,,,,
Burglary at non-residential premises,20,57,42,22,26,67,90,133,150,166
Burglary at residential premises,236,244,249,160,188,200,189,172,223,252
Theft of motor vehicle and motorcycle,19,37,26,32,33,43,33,42,58,27
Theft out of or from motor vehicle,138,131,127,109,107,116,117,93,123,164
Stock-theft,0,0,0,0,1,1,1,1,0,1
CRIMES HEAVILY DEPENDENT ON POLICE ACTION FOR DETECTION,,,,,,,,,,
Illegal possession of firearms and ammunition,10,4,3,6,4,0,1,4,4,2
Drug-related crime,111,34,50,70,36,25,35,89,136,116
Driving under the influence of alcohol or drugs,20,18,14,12,23,34,23,24,20,24
OTHER SERIOUS CRIMES,,,,,,,,,,
All theft not mentioned elsewhere,417,518,487,464,510,544,476,430,532,450
Commercial crime,7,19,20,18,37,42,52,66,66,103
Shoplifting,41,16,36,6,20,53,165,158,164,267
SUBCATEGORIES OF AGGRAVATED ROBBERY FORMING PART OF AGGRAVATED ROBBERY ABOVE,,,,,,,,,,
Carjacking,0,1,3,2,4,5,10,6,5,17
Truck hijacking,0,0,0,0,0,2,1,0,0,1
Robbery at residential premises,0,1,2,0,1,3,2,5,1,6
Robbery at non-residential premises,0,1,1,0,6,25,27,15,16,12
OTHER CRIME CATEGORIES,,,,,,,,,,
Culpable homicide,12,8,10,16,8,14,11,18,10,15
Public violence,0,0,0,0,1,2,0,1,1,1
Crimen injuria,81,91,79,78,53,63,105,70,85,64
Neglect and ill-treatment of children ,3,4,2,3,4,1,5,2,3,1
Kidnapping,1,0,0,0,1,0,2,2,3,3
,,,,,,,,,,
,,,,,,,,,,
Crime Research and Statistics -South African Police Service,,,,,,,,,,
,,,,,,,,,,
Crime in  Heilbron (FS)  for April to March 2003/2004 - 2012/2013,,,,,,,,,,
,,,,,,,,,,
-,,,,,,,,,,
,,,,,,,,,,
Crime Category,April 2003 to March 2004,April 2004 to March 2005,April 2005 to March 2006,April 2006 to March 2007,April 2007 to March 2008 ,April 2008 to March 2009 ,April 2009 to March 2010,April 2010 to March 2011,April 2011 to March 2012,April 2012 to March 2013
CONTACT CRIME (CRIMES AGAINST THE PERSON),,,,,,,,,,
Murder,6,4,1,8,4,10,7,6,4,3
Total Sexual Crimes,29,32,47,39,46,56,38,37,50,39
Attempted murder,5,7,6,4,7,11,3,1,4,5
Assault with the intent to inflict grievous bodily harm,142,135,142,153,174,151,164,136,123,125
Common assault,190,175,178,203,161,250,165,147,182,187
Common robbery,19,31,26,35,28,31,29,12,15,26
Robbery with aggravating circumstances,20,24,13,12,12,19,13,13,20,27
CONTACT-RELATED CRIMES,,,,,,,,,,
Arson,2,2,3,1,11,3,2,5,1,6
Malicious damage to property,95,82,85,91,98,97,108,91,81,111
PROPERTY-RELATED CRIMES,,,,,,,,,,
Burglary at non-residential premises,76,60,76,49,57,43,51,41,71,64
Burglary at residential premises,127,109,138,99,151,125,120,77,101,205
Theft of motor vehicle and motorcycle,37,35,18,13,8,12,8,17,13,9
Theft out of or from motor vehicle,41,15,18,8,11,9,9,9,23,35
Stock-theft,139,100,103,90,72,98,100,91,115,72
CRIMES HEAVILY DEPENDENT ON POLICE ACTION FOR DETECTION,,,,,,,,,,
Illegal possession of firearms and ammunition,8,7,5,1,2,4,1,2,2,2
Drug-related crime,36,32,37,50,28,39,35,22,55,93
Driving under the influence of alcohol or drugs,5,8,9,20,7,6,5,7,16,12
OTHER SERIOUS CRIMES,,,,,,,,,,
All theft not mentioned elsewhere,267,245,282,181,199,199,199,174,164,220
Commercial crime,25,30,15,7,19,12,19,23,25,22
Shoplifting,30,15,22,9,18,20,17,15,35,55
SUBCATEGORIES OF AGGRAVATED ROBBERY FORMING PART OF AGGRAVATED ROBBERY ABOVE,,,,,,,,,,
Carjacking,3,1,1,0,0,0,0,2,0,0
Truck hijacking,0,4,0,1,0,1,0,0,0,0
Robbery at residential premises,1,0,0,0,0,1,0,2,0,0
Robbery at non-residential premises,0,0,0,0,0,4,8,0,9,16
OTHER CRIME CATEGORIES,,,,,,,,,,
Culpable homicide,14,12,12,14,7,9,13,15,12,11
Public violence,0,0,0,0,6,0,1,6,0,2
Crimen injuria,26,39,32,29,35,53,33,37,56,56
Neglect and ill-treatment of children ,3,10,10,3,8,8,5,7,6,3
Kidnapping,1,0,0,0,0,1,1,0,0,1
,,,,,,,,,,
,,,,,,,,,,
Crime Research and Statistics -South African Police Service,,,,,,,,,,
,,,,,,,,,,
Crime in  Hennenman (FS)  for April to March 2003/2004 - 2012/2013,,,,,,,,,,
,,,,,,,,,,
-,,,,,,,,,,
,,,,,,,,,,
Crime Category,April 2003 to March 2004,April 2004 to March 2005,April 2005 to March 2006,April 2006 to March 2007,April 2007 to March 2008 ,April 2008 to March 2009 ,April 2009 to March 2010,April 2010 to March 2011,April 2011 to March 2012,April 2012 to March 2013
CONTACT CRIME (CRIMES AGAINST THE PERSON),,,,,,,,,,
Murder,10,8,5,1,5,4,3,6,4,7
Total Sexual Crimes,38,37,41,36,30,30,28,34,45,84
Attempted murder,6,13,5,1,7,7,4,0,2,4
Assault with the intent to inflict grievous bodily harm,217,247,197,221,202,261,150,167,161,182
Common assault,224,219,223,193,205,214,264,195,232,212
Common robbery,12,15,23,17,22,30,23,19,17,12
Robbery with aggravating circumstances,11,26,10,12,17,17,14,10,18,25
CONTACT-RELATED CRIMES,,,,,,,,,,
Arson,5,0,2,4,13,11,2,1,3,2
Malicious damage to property,70,98,85,75,84,99,98,95,62,55
PROPERTY-RELATED CRIMES,,,,,,,,,,
Burglary at non-residential premises,27,30,34,30,34,32,34,31,57,61
Burglary at residential premises,127,120,147,135,122,115,109,84,86,100
Theft of motor vehicle and motorcycle,22,12,9,25,9,8,15,8,16,12
Theft out of or from motor vehicle,27,29,30,11,9,6,6,10,9,9
Stock-theft,20,11,8,12,29,24,29,34,34,33
CRIMES HEAVILY DEPENDENT ON POLICE ACTION FOR DETECTION,,,,,,,,,,
Illegal possession of firearms and ammunition,3,1,2,2,1,2,1,2,0,0
Drug-related crime,23,21,59,34,20,31,69,42,47,56
Driving under the influence of alcohol or drugs,9,8,7,8,9,17,27,36,39,37
OTHER SERIOUS CRIMES,,,,,,,,,,
All theft not mentioned elsewhere,304,296,293,348,369,360,305,280,289,273
Commercial crime,21,14,10,18,12,5,16,19,17,22
Shoplifting,5,9,6,6,2,9,9,9,11,6
