Crime Research and Statistics -South African Police Service,,,,,,,,,,
,,,,,,,,,,
Crime in  KwaZulu-Natal  for April to March 2003/2004 - 2012/2013,,,,,,,,,,
,,,,,,,,,,
-,,,,,,,,,,
,,,,,,,,,,
Crime Category,April 2003 to March 2004,April 2004 to March 2005,April 2005 to March 2006,April 2006 to March 2007,April 2007 to March 2008 ,April 2008 to March 2009 ,April 2009 to March 2010,April 2010 to March 2011,April 2011 to March 2012,April 2012 to March 2013
CONTACT-RELATED CRIMES,,,,,,,,,,
Arson,6,4,2,6,9,14,5,9,3,3
Malicious damage to property,73,76,89,73,70,73,92,84,66,83
PROPERTY-RELATED CRIMES,,,,,,,,,,
Burglary at non-residential premises,40,41,69,53,51,59,81,56,46,74
Burglary at residential premises,188,207,229,193,202,206,208,170,138,148
Theft of motor vehicle and motorcycle,11,15,9,14,13,9,7,7,6,12
Theft out of or from motor vehicle,21,29,29,17,17,29,21,23,15,19
Stock-theft,147,124,121,172,154,191,155,151,99,112
CRIMES HEAVILY DEPENDENT ON POLICE ACTION FOR DETECTION,,,,,,,,,,
Illegal possession of firearms and ammunition,7,7,4,8,9,5,14,18,13,16
Drug-related crime,13,18,31,29,24,32,33,45,49,57
Driving under the influence of alcohol or drugs,2,9,6,24,34,45,65,69,74,63
OTHER SERIOUS CRIMES,,,,,,,,,,
All theft not mentioned elsewhere,274,221,191,189,176,197,167,142,135,113
Commercial crime,8,11,15,20,20,26,21,14,9,14
Shoplifting,1,1,0,1,0,9,4,15,12,9
SUBCATEGORIES OF AGGRAVATED ROBBERY FORMING PART OF AGGRAVATED ROBBERY ABOVE,,,,,,,,,,
Carjacking,4,5,3,0,7,5,2,5,1,2
Truck hijacking,0,0,0,0,1,0,0,1,0,0
Robbery at residential premises,1,1,2,0,9,8,5,15,7,5
Robbery at non-residential premises,0,1,1,0,12,11,13,6,3,20
OTHER CRIME CATEGORIES,,,,,,,,,,
Culpable homicide,10,16,28,19,13,22,14,12,15,16
Public violence,0,0,1,0,0,1,0,2,1,0
Crimen injuria,41,29,27,36,23,21,39,18,20,14
Neglect and ill-treatment of children ,1,2,13,2,4,0,5,3,0,3
Kidnapping,0,4,2,1,4,9,3,2,0,3
,,,,,,,,,,
,,,,,,,,,,
Crime Research and Statistics -South African Police Service,,,,,,,,,,
,,,,,,,,,,
Crime in  Donnybrook (KZN)  for April to March 2003/2004 - 2012/2013,,,,,,,,,,
,,,,,,,,,,
-,,,,,,,,,,
,,,,,,,,,,
Crime Category,April 2003 to March 2004,April 2004 to March 2005,April 2005 to March 2006,April 2006 to March 2007,April 2007 to March 2008 ,April 2008 to March 2009 ,April 2009 to March 2010,April 2010 to March 2011,April 2011 to March 2012,April 2012 to March 2013
CONTACT CRIME (CRIMES AGAINST THE PERSON),,,,,,,,,,
Murder,12,10,8,7,19,11,9,7,15,5
Total Sexual Crimes,19,26,27,34,16,27,26,21,23,25
Attempted murder,10,9,6,5,11,6,5,8,6,5
Assault with the intent to inflict grievous bodily harm,107,119,78,76,102,91,94,84,106,96
Common assault,40,38,40,37,27,24,48,24,28,34
Common robbery,11,12,14,15,13,7,16,8,9,13
Robbery with aggravating circumstances,17,11,15,5,11,9,21,9,6,11
CONTACT-RELATED CRIMES,,,,,,,,,,
Arson,5,5,6,18,8,2,2,3,2,2
Malicious damage to property,27,17,24,28,31,19,25,18,24,36
PROPERTY-RELATED CRIMES,,,,,,,,,,
Burglary at non-residential premises,7,5,9,7,13,20,19,9,24,24
Burglary at residential premises,108,81,103,95,94,93,71,67,63,97
Theft of motor vehicle and motorcycle,7,9,4,1,1,0,2,1,1,2
Theft out of or from motor vehicle,10,11,15,11,7,3,2,6,9,9
Stock-theft,75,66,55,78,60,82,96,83,94,59
CRIMES HEAVILY DEPENDENT ON POLICE ACTION FOR DETECTION,,,,,,,,,,
Illegal possession of firearms and ammunition,12,10,18,22,11,11,6,5,6,7
Drug-related crime,33,45,57,122,144,76,156,83,123,130
Driving under the influence of alcohol or drugs,4,12,9,11,12,11,20,16,14,5
OTHER SERIOUS CRIMES,,,,,,,,,,
All theft not mentioned elsewhere,74,61,48,63,60,45,69,66,42,58
Commercial crime,1,2,1,2,2,4,3,4,0,5
Shoplifting,22,29,9,25,11,10,13,11,16,14
SUBCATEGORIES OF AGGRAVATED ROBBERY FORMING PART OF AGGRAVATED ROBBERY ABOVE,,,,,,,,,,
Carjacking,0,1,4,0,0,1,4,0,0,0
Truck hijacking,0,0,0,0,0,0,0,0,0,0
Robbery at residential premises,2,0,0,1,0,5,2,4,4,4
Robbery at non-residential premises,0,0,0,0,0,0,1,0,1,4
OTHER CRIME CATEGORIES,,,,,,,,,,
Culpable homicide,4,1,2,1,8,2,0,5,3,6
Public violence,1,2,0,0,1,0,0,1,0,0
Crimen injuria,5,4,3,7,5,12,6,2,4,5
Neglect and ill-treatment of children ,0,0,1,0,1,0,0,0,0,0
Kidnapping,1,2,0,0,1,0,2,1,0,3
,,,,,,,,,,
,,,,,,,,,,
Crime Research and Statistics -South African Police Service,,,,,,,,,,
,,,,,,,,,,
Crime in  Dududu (KZN)  for April to March 2003/2004 - 2012/2013,,,,,,,,,,
,,,,,,,,,,
-,,,,,,,,,,
,,,,,,,,,,
Crime Category,April 2003 to March 2004,April 2004 to March 2005,April 2005 to March 2006,April 2006 to March 2007,April 2007 to March 2008 ,April 2008 to March 2009 ,April 2009 to March 2010,April 2010 to March 2011,April 2011 to March 2012,April 2012 to March 2013
CONTACT CRIME (CRIMES AGAINST THE PERSON),,,,,,,,,,
Murder,27,20,16,13,16,12,12,7,7,8
Total Sexual Crimes,31,33,19,20,22,24,23,23,21,28
Attempted murder,29,17,15,20,10,8,9,11,3,7
Assault with the intent to inflict grievous bodily harm,69,83,58,59,62,62,38,42,45,47
Common assault,38,37,40,30,20,23,36,18,18,20
Common robbery,17,8,14,7,14,3,3,6,2,3
Robbery with aggravating circumstances,45,22,32,8,17,31,61,15,8,12
CONTACT-RELATED CRIMES,,,,,,,,,,
Arson,4,4,1,4,5,3,3,5,1,0
Malicious damage to property,26,12,5,10,10,21,13,21,15,9
PROPERTY-RELATED CRIMES,,,,,,,,,,
Burglary at non-residential premises,13,13,10,16,15,28,16,20,14,19
Burglary at residential premises,54,55,49,37,35,59,54,29,29,38
Theft of motor vehicle and motorcycle,2,3,4,1,0,0,1,2,0,0
Theft out of or from motor vehicle,4,3,5,7,4,1,6,6,3,7
Stock-theft,9,5,4,17,12,17,12,6,25,7
CRIMES HEAVILY DEPENDENT ON POLICE ACTION FOR DETECTION,,,,,,,,,,
Illegal possession of firearms and ammunition,30,12,14,11,16,11,20,23,6,12
Drug-related crime,13,50,70,63,50,50,47,76,75,71
Driving under the influence of alcohol or drugs,2,1,1,6,2,5,3,1,4,0
OTHER SERIOUS CRIMES,,,,,,,,,,
All theft not mentioned elsewhere,42,19,34,22,28,22,22,20,19,18
Commercial crime,3,10,9,10,11,3,4,1,1,2
Shoplifting,0,0,0,0,0,0,0,0,0,0
SUBCATEGORIES OF AGGRAVATED ROBBERY FORMING PART OF AGGRAVATED ROBBERY ABOVE,,,,,,,,,,
Carjacking,3,0,0,0,4,1,1,2,1,0
Truck hijacking,0,0,0,0,0,0,0,0,0,0
Robbery at residential premises,2,0,0,0,4,18,46,9,3,7
Robbery at non-residential premises,0,0,0,0,1,4,1,0,1,0
OTHER CRIME CATEGORIES,,,,,,,,,,
Culpable homicide,1,5,6,0,4,6,4,2,3,5
Public violence,0,0,0,0,0,0,0,0,1,1
Crimen injuria,4,2,0,1,2,3,1,1,2,3
Neglect and ill-treatment of children ,1,0,1,0,1,0,0,1,0,1
Kidnapping,0,0,1,0,2,0,0,0,0,0
,,,,,,,,,,
,,,,,,,,,,
Crime Research and Statistics -South African Police Service,,,,,,,,,,
,,,,,,,,,,
Crime in  Dundee (KZN)  for April to March 2003/2004 - 2012/2013,,,,,,,,,,
,,,,,,,,,,
-,,,,,,,,,,
,,,,,,,,,,
Crime Category,April 2003 to March 2004,April 2004 to March 2005,April 2005 to March 2006,April 2006 to March 2007,April 2007 to March 2008 ,April 2008 to March 2009 ,April 2009 to March 2010,April 2010 to March 2011,April 2011 to March 2012,April 2012 to March 2013
CONTACT CRIME (CRIMES AGAINST THE PERSON),,,,,,,,,,
Murder,16,11,14,15,14,19,20,13,16,21
Total Sexual Crimes,48,64,66,65,79,107,61,86,63,52
Attempted murder,22,20,14,15,14,11,11,12,9,8
Assault with the intent to inflict grievous bodily harm,188,221,196,181,172,222,210,189,184,156
Common assault,257,207,148,132,145,188,306,266,322,290
Common robbery,75,93,63,56,55,87,83,57,61,56
Robbery with aggravating circumstances,43,47,31,54,43,53,59,43,76,90
CONTACT-RELATED CRIMES,,,,,,,,,,
Arson,15,6,7,9,15,7,7,8,3,3
Malicious damage to property,111,117,98,92,69,119,117,106,101,86
PROPERTY-RELATED CRIMES,,,,,,,,,,
Burglary at non-residential premises,75,93,80,44,70,81,69,76,57,76
Burglary at residential premises,256,277,251,187,158,185,224,222,166,168
Theft of motor vehicle and motorcycle,62,66,64,71,59,70,61,52,43,19
Theft out of or from motor vehicle,121,137,73,57,61,71,56,62,60,52
Stock-theft,70,54,40,100,89,82,80,67,44,54
CRIMES HEAVILY DEPENDENT ON POLICE ACTION FOR DETECTION,,,,,,,,,,
Illegal possession of firearms and ammunition,26,11,9,19,8,9,12,31,40,33
Drug-related crime,113,161,172,169,225,146,223,227,243,369
Driving under the influence of alcohol or drugs,38,69,55,55,109,163,106,107,116,175
OTHER SERIOUS CRIMES,,,,,,,,,,
All theft not mentioned elsewhere,520,466,356,323,310,413,329,304,329,357
Commercial crime,66,96,190,85,65,68,90,96,73,91
Shoplifting,106,91,86,46,74,68,136,73,104,126
SUBCATEGORIES OF AGGRAVATED ROBBERY FORMING PART OF AGGRAVATED ROBBERY ABOVE,,,,,,,,,,
Carjacking,2,8,0,8,4,3,7,10,4,3
Truck hijacking,0,0,0,0,1,1,0,1,0,1
Robbery at residential premises,2,0,3,3,2,13,12,6,5,10
Robbery at non-residential premises,0,0,1,4,7,11,13,3,15,14
OTHER CRIME CATEGORIES,,,,,,,,,,
Culpable homicide,8,8,8,15,19,14,10,12,12,15
Public violence,1,0,1,0,0,0,4,1,0,1
Crimen injuria,65,55,48,38,23,36,26,21,31,22
Neglect and ill-treatment of children ,2,2,3,1,3,1,3,0,3,1
Kidnapping,1,4,3,1,2,2,1,5,2,1
,,,,,,,,,,
,,,,,,,,,,
Crime Research and Statistics -South African Police Service,,,,,,,,,,
,,,,,,,,,,
Crime in  Durban Central (KZN)  [169]   for April to March 2003/2004 - 2012/2013,,,,,,,,,,
,,,,,,,,,,
Durban Central was previously named C R Swart Sqaure,,,,,,,,,,
,,,,,,,,,,
Crime Category,April 2003 to March 2004,April 2004 to March 2005,April 2005 to March 2006,April 2006 to March 2007,April 2007 to March 2008 ,April 2008 to March 2009 ,April 2009 to March 2010,April 2010 to March 2011,April 2011 to March 2012,April 2012 to March 2013
CONTACT CRIME (CRIMES AGAINST THE PERSON),,,,,,,,,,
Murder,108,94,91,92,77,71,48,38,42,39
Total Sexual Crimes,239,231,243,239,279,1091,915,763,526,576
Attempted murder,155,94,90,104,87,70,48,31,25,36
Assault with the intent to inflict grievous bodily harm,533,552,543,519,513,420,356,365,325,312
Common assault,1073,1186,1137,1024,1016,935,923,813,880,789
Common robbery,1414,1278,847,858,678,639,600,487,515,468
Robbery with aggravating circumstances,2396,2295,2721,3215,2136,1967,1373,899,924,885
CONTACT-RELATED CRIMES,,,,,,,,,,
Arson,9,10,7,6,4,5,2,2,2,0
Malicious damage to property,749,741,808,863,587,506,443,390,332,378
PROPERTY-RELATED CRIMES,,,,,,,,,,
Burglary at non-residential premises,792,659,733,884,677,681,686,573,537,599
Burglary at residential premises,362,339,316,369,245,258,240,153,184,199
Theft of motor vehicle and motorcycle,1794,1784,1925,1842,1271,1153,876,671,589,673
Theft out of or from motor vehicle,2092,1327,1178,1250,967,1011,1029,1144,1076,1252
Stock-theft,0,0,0,0,0,0,0,0,0,0
CRIMES HEAVILY DEPENDENT ON POLICE ACTION FOR DETECTION,,,,,,,,,,
Illegal possession of firearms and ammunition,85,70,64,104,87,77,100,73,87,91
Drug-related crime,289,514,753,577,718,1280,1462,1872,2304,2336
Driving under the influence of alcohol or drugs,176,375,240,296,370,521,590,616,978,1111
OTHER SERIOUS CRIMES,,,,,,,,,,
All theft not mentioned elsewhere,6844,5881,4213,4551,3527,3380,3200,2945,3237,3428
Commercial crime,1624,1417,1387,2196,1278,1412,1214,1232,1162,1141
Shoplifting,2671,2290,1802,1517,1481,1787,2570,1843,1958,1840
SUBCATEGORIES OF AGGRAVATED ROBBERY FORMING PART OF AGGRAVATED ROBBERY ABOVE,,,,,,,,,,
Carjacking,158,129,178,165,144,109,81,36,37,38
Truck hijacking,1,2,2,2,2,1,1,0,0,1
Robbery at residential premises,4,1,1,4,8,10,6,7,11,9
Robbery at non-residential premises,5,6,5,42,194,154,70,56,65,66
OTHER CRIME CATEGORIES,,,,,,,,,,
Culpable homicide,60,67,77,74,59,71,67,61,68,45
Public violence,7,4,4,10,7,5,4,3,5,4
Crimen injuria,209,223,283,228,231,170,133,122,124,93
Neglect and ill-treatment of children ,15,27,15,16,11,20,14,18,10,17
Kidnapping,49,43,43,40,48,51,35,36,39,34
,,,,,,,,,,
,,,,,,,,,,
Crime Research and Statistics -South African Police Service,,,,,,,,,,
,,,,,,,,,,
Crime in  Durban North (KZN)  for April to March 2003/2004 - 2012/2013,,,,,,,,,,
,,,,,,,,,,
-,,,,,,,,,,
,,,,,,,,,,
Crime Category,April 2003 to March 2004,April 2004 to March 2005,April 2005 to March 2006,April 2006 to March 2007,April 2007 to March 2008 ,April 2008 to March 2009 ,April 2009 to March 2010,April 2010 to March 2011,April 2011 to March 2012,April 2012 to March 2013
CONTACT CRIME (CRIMES AGAINST THE PERSON),,,,,,,,,,
Murder,6,4,7,4,7,3,1,4,4,2
Total Sexual Crimes,30,32,32,35,29,36,18,37,37,30
Attempted murder,15,11,9,12,11,7,2,4,15,11
Assault with the intent to inflict grievous bodily harm,46,49,43,40,33,28,24,35,19,25
Common assault,190,222,205,273,268,244,251,200,225,239
Common robbery,61,52,52,39,48,38,44,45,31,40
Robbery with aggravating circumstances,154,137,119,228,167,201,139,117,115,144
CONTACT-RELATED CRIMES,,,,,,,,,,
Arson,1,1,0,0,0,0,0,0,0,0
Malicious damage to property,322,281,231,238,261,193,223,241,247,228
PROPERTY-RELATED CRIMES,,,,,,,,,,
Burglary at non-residential premises,85,81,63,87,134,138,116,73,95,152
Burglary at residential premises,769,637,637,627,692,575,766,590,589,591
Theft of motor vehicle and motorcycle,455,442,461,394,305,291,252,347,343,352
Theft out of or from motor vehicle,797,567,511,418,305,407,389,495,600,571
Stock-theft,0,0,0,0,0,0,0,0,0,0
CRIMES HEAVILY DEPENDENT ON POLICE ACTION FOR DETECTION,,,,,,,,,,
Illegal possession of firearms and ammunition,3,14,13,25,4,14,10,2,12,2
Drug-related crime,63,106,151,162,181,153,164,167,150,134
Driving under the influence of alcohol or drugs,65,104,202,117,159,119,103,154,208,238
OTHER SERIOUS CRIMES,,,,,,,,,,
All theft not mentioned elsewhere,1572,1403,1250,1146,1022,1098,1069,1091,1197,1107
Commercial crime,261,269,317,410,376,445,487,446,421,455
Shoplifting,326,435,418,466,592,683,740,659,583,668
SUBCATEGORIES OF AGGRAVATED ROBBERY FORMING PART OF AGGRAVATED ROBBERY ABOVE,,,,,,,,,,
Carjacking,8,18,13,18,15,27,7,24,10,9
Truck hijacking,0,0,0,2,0,0,0,0,0,0
Robbery at residential premises,4,4,2,26,42,49,46,39,37,64
Robbery at non-residential premises,2,0,0,4,22,20,8,9,4,6
OTHER CRIME CATEGORIES,,,,,,,,,,
Culpable homicide,18,20,16,27,28,14,23,22,20,16
Public violence,0,0,0,0,0,0,0,0,0,0
Crimen injuria,70,69,97,77,83,65,51,51,51,50
Neglect and ill-treatment of children ,1,2,4,2,2,1,4,1,0,1
Kidnapping,2,3,4,4,8,3,2,4,4,5
,,,,,,,,,,
,,,,,,,,,,
Crime Research and Statistics -South African Police Service,,,,,,,,,,
,,,,,,,,,,
Crime in  Ekombe (KZN)  for April to March 2003/2004 - 2012/2013,,,,,,,,,,
,,,,,,,,,,
-,,,,,,,,,,
,,,,,,,,,,
Crime Category,April 2003 to March 2004,April 2004 to March 2005,April 2005 to March 2006,April 2006 to March 2007,April 2007 to March 2008 ,April 2008 to March 2009 ,April 2009 to March 2010,April 2010 to March 2011,April 2011 to March 2012,April 2012 to March 2013
CONTACT CRIME (CRIMES AGAINST THE PERSON),,,,,,,,,,
Murder,30,35,22,14,21,21,18,12,15,17
Total Sexual Crimes,25,19,25,25,22,18,32,40,31,19
Attempted murder,36,21,32,12,15,3,11,20,17,13
Assault with the intent to inflict grievous bodily harm,109,95,82,64,47,53,80,91,77,79
Common assault,28,32,34,18,17,14,7,25,10,19
Common robbery,6,5,7,6,4,3,3,10,5,5
Robbery with aggravating circumstances,41,28,9,18,17,17,15,13,15,8
CONTACT-RELATED CRIMES,,,,,,,,,,
Arson,3,7,10,1,4,3,4,7,2,3
Malicious damage to property,16,8,11,4,6,10,10,18,9,7
PROPERTY-RELATED CRIMES,,,,,,,,,,
Burglary at non-residential premises,3,15,20,9,12,12,14,14,14,20
Burglary at residential premises,39,28,22,30,17,21,21,11,17,17
Theft of motor vehicle and motorcycle,3,2,3,0,3,1,0,4,1,0
Theft out of or from motor vehicle,3,4,9,2,5,2,4,5,5,4
Stock-theft,96,121,116,79,56,44,31,36,57,28
CRIMES HEAVILY DEPENDENT ON POLICE ACTION FOR DETECTION,,,,,,,,,,
Illegal possession of firearms and ammunition,62,34,36,24,12,10,28,35,30,20
Drug-related crime,10,12,36,39,10,13,61,30,19,46
Driving under the influence of alcohol or drugs,0,0,0,1,0,0,0,0,1,1
OTHER SERIOUS CRIMES,,,,,,,,,,
All theft not mentioned elsewhere,53,34,37,20,16,27,19,23,22,24
Commercial crime,1,1,1,0,1,0,0,3,2,1
Shoplifting,0,0,0,0,0,0,0,0,0,0
SUBCATEGORIES OF AGGRAVATED ROBBERY FORMING PART OF AGGRAVATED ROBBERY ABOVE,,,,,,,,,,
Carjacking,0,1,1,1,1,2,0,0,1,1
Truck hijacking,0,0,0,1,0,1,0,0,0,0
Robbery at residential premises,3,0,0,0,1,0,5,3,5,6
Robbery at non-residential premises,1,0,0,0,1,1,2,0,4,0
OTHER CRIME CATEGORIES,,,,,,,,,,
Culpable homicide,4,4,8,4,4,4,4,6,11,5
Public violence,0,0,0,0,0,0,0,0,0,0
Crimen injuria,0,0,0,0,1,0,3,0,1,1
Neglect and ill-treatment of children ,1,0,0,0,0,0,1,1,0,0
Kidnapping,0,0,0,0,0,0,0,1,1,0
,,,,,,,,,,
,,,,,,,,,,
Crime Research and Statistics -South African Police Service,,,,,,,,,,
,,,,,,,,,,
Crime in  Ekuvukeni (KZN)  for April to March 2003/2004 - 2012/2013,,,,,,,,,,
,,,,,,,,,,
-,,,,,,,,,,
,,,,,,,,,,
Crime Category,April 2003 to March 2004,April 2004 to March 2005,April 2005 to March 2006,April 2006 to March 2007,April 2007 to March 2008 ,April 2008 to March 2009 ,April 2009 to March 2010,April 2010 to March 2011,April 2011 to March 2012,April 2012 to March 2013
CONTACT CRIME (CRIMES AGAINST THE PERSON),,,,,,,,,,
Murder,43,30,34,32,28,34,22,30,25,17
Total Sexual Crimes,71,65,67,62,67,57,71,83,62,92
Attempted murder,39,32,24,27,20,30,36,21,41,45
Assault with the intent to inflict grievous bodily harm,170,176,111,130,141,152,167,196,206,172
Common assault,143,96,68,84,36,89,109,96,114,132
Common robbery,45,39,18,28,26,16,13,21,8,18
Robbery with aggravating circumstances,101,74,28,47,45,58,71,69,50,56
CONTACT-RELATED CRIMES,,,,,,,,,,
Arson,6,6,4,3,7,10,1,3,2,6
Malicious damage to property,75,55,40,53,52,59,79,62,57,67
PROPERTY-RELATED CRIMES,,,,,,,,,,
Burglary at non-residential premises,27,18,19,21,20,31,28,15,9,27
Burglary at residential premises,216,146,112,85,98,109,129,126,112,133
Theft of motor vehicle and motorcycle,3,12,8,6,7,4,2,2,2,5
Theft out of or from motor vehicle,14,15,6,5,3,7,4,8,5,11
Stock-theft,215,158,124,163,158,128,146,138,125,113
CRIMES HEAVILY DEPENDENT ON POLICE ACTION FOR DETECTION,,,,,,,,,,
Illegal possession of firearms and ammunition,36,36,31,21,17,28,36,64,52,50
Drug-related crime,15,36,26,35,27,8,7,16,36,20
Driving under the influence of alcohol or drugs,0,5,5,2,7,2,4,5,8,11
OTHER SERIOUS CRIMES,,,,,,,,,,
All theft not mentioned elsewhere,131,105,68,66,45,70,86,84,120,109
Commercial crime,0,1,0,0,0,5,3,3,5,3
Shoplifting,0,0,0,0,0,0,0,0,0,0
SUBCATEGORIES OF AGGRAVATED ROBBERY FORMING PART OF AGGRAVATED ROBBERY ABOVE,,,,,,,,,,
Carjacking,1,10,0,0,1,5,4,1,2,3
Truck hijacking,0,0,0,0,0,0,0,0,2,0
Robbery at residential premises,19,0,0,0,0,17,20,24,16,10
Robbery at non-residential premises,1,0,0,0,3,7,6,17,4,16
OTHER CRIME CATEGORIES,,,,,,,,,,
Culpable homicide,21,5,14,7,10,5,7,6,11,5
Public violence,1,0,0,1,0,0,0,0,0,0
Crimen injuria,9,5,1,2,4,10,32,35,28,28
Neglect and ill-treatment of children ,1,3,1,1,0,1,1,0,0,0
Kidnapping,4,3,1,0,2,0,2,0,0,10
,,,,,,,,,,
,,,,,,,,,,
Crime Research and Statistics -South African Police Service,,,,,,,,,,
,,,,,,,,,,
Crime in  Elandslaagte (KZN)  for April to March 2003/2004 - 2012/2013,,,,,,,,,,
,,,,,,,,,,
-,,,,,,,,,,
,,,,,,,,,,
Crime Category,April 2003 to March 2004,April 2004 to March 2005,April 2005 to March 2006,April 2006 to March 2007,April 2007 to March 2008 ,April 2008 to March 2009 ,April 2009 to March 2010,April 2010 to March 2011,April 2011 to March 2012,April 2012 to March 2013
CONTACT CRIME (CRIMES AGAINST THE PERSON),,,,,,,,,,
Murder,12,4,8,6,5,13,7,9,2,10
Total Sexual Crimes,10,19,35,24,18,19,29,15,23,14
Attempted murder,15,10,17,13,13,8,14,9,7,5
Assault with the intent to inflict grievous bodily harm,82,48,68,61,58,56,74,56,56,38
Common assault,29,30,42,61,54,48,36,42,53,48
Common robbery,3,7,9,7,15,4,14,2,5,2
Robbery with aggravating circumstances,15,22,14,9,13,12,25,14,20,19
CONTACT-RELATED CRIMES,,,,,,,,,,
Arson,11,6,10,3,6,5,6,10,11,1
Malicious damage to property,34,30,31,38,26,29,28,33,41,32
PROPERTY-RELATED CRIMES,,,,,,,,,,
Burglary at non-residential premises,6,0,8,3,6,8,13,7,14,17
Burglary at residential premises,67,54,104,66,46,56,45,56,42,57
Theft of motor vehicle and motorcycle,3,5,6,0,1,1,2,1,3,1
Theft out of or from motor vehicle,4,7,9,1,5,5,7,6,13,8
Stock-theft,153,130,122,100,95,105,124,135,119,120
CRIMES HEAVILY DEPENDENT ON POLICE ACTION FOR DETECTION,,,,,,,,,,
Illegal possession of firearms and ammunition,5,3,2,3,3,6,3,2,7,1
Drug-related crime,5,1,1,1,1,0,0,1,9,14
Driving under the influence of alcohol or drugs,3,2,13,7,16,14,14,10,13,13
OTHER SERIOUS CRIMES,,,,,,,,,,
All theft not mentioned elsewhere,76,57,56,57,63,95,112,96,83,72
Commercial crime,5,1,2,2,2,0,0,1,1,0
Shoplifting,0,0,0,0,0,0,0,0,0,0
SUBCATEGORIES OF AGGRAVATED ROBBERY FORMING PART OF AGGRAVATED ROBBERY ABOVE,,,,,,,,,,
Carjacking,1,1,4,1,0,2,5,0,0,0
Truck hijacking,0,0,3,0,0,0,1,0,1,0
Robbery at residential premises,0,1,1,0,3,2,2,2,7,6
Robbery at non-residential premises,0,0,0,0,0,1,3,7,2,8
OTHER CRIME CATEGORIES,,,,,,,,,,
Culpable homicide,10,16,10,5,11,10,11,8,7,4
Public violence,0,0,0,0,0,0,1,0,0,1
Crimen injuria,3,1,2,4,3,0,1,3,3,11
Neglect and ill-treatment of children ,2,0,0,0,0,0,0,0,1,0
Kidnapping,0,0,1,1,0,1,0,4,3,1
,,,,,,,,,,
,,,,,,,,,,
Crime Research and Statistics -South African Police Service,,,,,,,,,,
,,,,,,,,,,
Crime in  Emanguzi (KZN)  for April to March 2003/2004 - 2012/2013,,,,,,,,,,
,,,,,,,,,,
-,,,,,,,,,,
,,,,,,,,,,
Crime Category,April 2003 to March 2004,April 2004 to March 2005,April 2005 to March 2006,April 2006 to March 2007,April 2007 to March 2008 ,April 2008 to March 2009 ,April 2009 to March 2010,April 2010 to March 2011,April 2011 to March 2012,April 2012 to March 2013
CONTACT CRIME (CRIMES AGAINST THE PERSON),,,,,,,,,,
Murder,17,20,30,22,22,15,10,18,13,15
Total Sexual Crimes,34,37,54,47,41,53,48,53,34,39
Attempted murder,27,19,24,22,19,12,8,7,13,10
Assault with the intent to inflict grievous bodily harm,192,175,173,154,124,139,134,134,128,118
Common assault,95,82,58,53,69,65,77,53,37,40
Common robbery,23,37,39,23,21,15,21,19,11,15
Robbery with aggravating circumstances,72,113,120,129,72,36,38,46,38,51
CONTACT-RELATED CRIMES,,,,,,,,,,
Arson,12,15,14,14,5,7,8,13,8,7
Malicious damage to property,38,37,22,37,27,31,34,26,27,31
PROPERTY-RELATED CRIMES,,,,,,,,,,
Burglary at non-residential premises,84,76,74,42,32,48,81,64,74,55
Burglary at residential premises,155,135,154,92,98,123,109,133,111,110
Theft of motor vehicle and motorcycle,15,3,5,4,2,4,3,4,5,4
Theft out of or from motor vehicle,41,20,21,14,14,17,23,37,35,57
Stock-theft,22,14,11,5,9,8,7,6,16,11
CRIMES HEAVILY DEPENDENT ON POLICE ACTION FOR DETECTION,,,,,,,,,,
Illegal possession of firearms and ammunition,17,18,12,22,17,21,25,15,5,23
Drug-related crime,7,10,40,28,15,29,33,21,31,35
Driving under the influence of alcohol or drugs,0,4,9,13,9,19,22,29,62,52
OTHER SERIOUS CRIMES,,,,,,,,,,
All theft not mentioned elsewhere,291,199,162,131,147,123,123,109,126,124
Commercial crime,13,24,12,27,52,32,43,38,64,38
Shoplifting,41,29,26,41,27,34,49,28,23,37
SUBCATEGORIES OF AGGRAVATED ROBBERY FORMING PART OF AGGRAVATED ROBBERY ABOVE,,,,,,,,,,
Carjacking,1,8,9,24,17,3,5,3,9,4
Truck hijacking,0,0,0,1,2,0,0,1,0,0
Robbery at residential premises,2,1,2,9,14,16,11,8,7,15
Robbery at non-residential premises,2,0,0,3,0,3,9,11,9,17
OTHER CRIME CATEGORIES,,,,,,,,,,
Culpable homicide,8,11,17,16,16,11,11,15,19,19
Public violence,0,0,0,1,0,2,0,0,0,1
Crimen injuria,5,8,4,0,7,5,2,2,0,2
Neglect and ill-treatment of children ,3,0,3,2,3,3,5,2,0,0
Kidnapping,0,0,0,0,2,5,1,0,0,3
,,,,,,,,,,
,,,,,,,,,,
Crime Research and Statistics -South African Police Service,,,,,,,,,,
,,,,,,,,,,
Crime in  Ematimatolo (KZN)  for April to March 2003/2004 - 2012/2013,,,,,,,,,,
,,,,,,,,,,
-,,,,,,,,,,
,,,,,,,,,,
Crime Category,April 2003 to March 2004,April 2004 to March 2005,April 2005 to March 2006,April 2006 to March 2007,April 2007 to March 2008 ,April 2008 to March 2009 ,April 2009 to March 2010,April 2010 to March 2011,April 2011 to March 2012,April 2012 to March 2013
CONTACT CRIME (CRIMES AGAINST THE PERSON),,,,,,,,,,
Murder,18,15,21,20,24,15,20,19,14,21
Total Sexual Crimes,22,24,23,25,25,24,19,29,27,26
