Crime Research and Statistics -South African Police Service,,,,,,,,,,
,,,,,,,,,,
Crime in  Gauteng for April to March 2003/2004 - 2012/2013,,,,,,,,,,
,,,,,,,,,,
-,,,,,,,,,,
,,,,,,,,,,
Crime Category,April 2003 to March 2004,April 2004 to March 2005,April 2005 to March 2006,April 2006 to March 2007,April 2007 to March 2008 ,April 2008 to March 2009 ,April 2009 to March 2010,April 2010 to March 2011,April 2011 to March 2012,April 2012 to March 2013
CONTACT CRIME (CRIMES AGAINST THE PERSON),,,,,,,,,,
Murder,22,26,32,17,29,28,18,4,11,16
Total Sexual Crimes,66,81,76,88,79,80,94,58,66,55
Attempted murder,75,65,42,52,43,48,49,35,35,37
Assault with the intent to inflict grievous bodily harm,306,319,314,270,253,264,282,270,271,242
Common assault,451,415,423,450,472,485,535,538,536,455
Common robbery,131,127,122,116,97,98,103,108,108,123
Robbery with aggravating circumstances,633,489,473,635,526,550,437,372,268,340
CONTACT-RELATED CRIMES,,,,,,,,,,
Arson,12,20,12,14,10,5,9,6,8,1
Malicious damage to property,492,462,462,485,401,379,489,443,389,359
PROPERTY-RELATED CRIMES,,,,,,,,,,
Burglary at non-residential premises,97,118,76,96,96,170,198,183,202,166
Burglary at residential premises,1069,1018,968,838,778,1025,1017,801,836,841
Theft of motor vehicle and motorcycle,339,293,259,310,359,471,423,314,222,142
Theft out of or from motor vehicle,479,366,363,388,318,364,378,481,584,644
Stock-theft,4,1,0,0,0,0,0,0,0,2
CRIMES HEAVILY DEPENDENT ON POLICE ACTION FOR DETECTION,,,,,,,,,,
Illegal possession of firearms and ammunition,11,12,11,18,25,39,63,49,13,19
Drug-related crime,49,56,40,49,86,144,298,217,136,137
Driving under the influence of alcohol or drugs,49,60,63,57,129,119,326,596,264,305
OTHER SERIOUS CRIMES,,,,,,,,,,
All theft not mentioned elsewhere,2426,2026,1917,2079,2002,1840,2128,2036,2016,1777
Commercial crime,380,365,398,543,622,596,774,976,662,607
Shoplifting,267,265,272,259,370,371,451,341,285,267
SUBCATEGORIES OF AGGRAVATED ROBBERY FORMING PART OF AGGRAVATED ROBBERY ABOVE,,,,,,,,,,
Carjacking,92,71,35,42,37,49,34,19,25,19
Truck hijacking,1,0,0,1,0,2,2,1,2,2
Robbery at residential premises,51,74,115,228,159,191,169,131,88,143
Robbery at non-residential premises,38,28,31,60,47,91,64,64,42,31
OTHER CRIME CATEGORIES,,,,,,,,,,
Culpable homicide,36,30,30,27,31,15,20,20,19,11
Public violence,3,1,7,4,5,7,1,7,2,1
Crimen injuria,39,68,36,47,40,39,72,70,84,78
Neglect and ill-treatment of children ,11,11,9,19,9,6,16,12,7,8
Kidnapping,0,1,2,1,0,3,5,6,9,8
,,,,,,,,,,
,,,,,,,,,,
Crime Research and Statistics -South African Police Service,,,,,,,,,,
,,,,,,,,,,
Crime in  Dube (GP)  for April to March 2003/2004 - 2012/2013,,,,,,,,,,
,,,,,,,,,,
-,,,,,,,,,,
,,,,,,,,,,
Crime Category,April 2003 to March 2004,April 2004 to March 2005,April 2005 to March 2006,April 2006 to March 2007,April 2007 to March 2008 ,April 2008 to March 2009 ,April 2009 to March 2010,April 2010 to March 2011,April 2011 to March 2012,April 2012 to March 2013
CONTACT CRIME (CRIMES AGAINST THE PERSON),,,,,,,,,,
Murder,6,5,8,12,12,3,8,3,6,2
Total Sexual Crimes,45,35,33,27,38,26,36,31,25,25
Attempted murder,17,11,6,13,3,3,3,4,3,0
Assault with the intent to inflict grievous bodily harm,156,123,109,107,117,117,115,95,94,89
Common assault,62,68,45,47,44,53,43,42,32,13
Common robbery,47,36,32,20,30,18,12,25,13,9
Robbery with aggravating circumstances,52,52,80,83,77,50,45,36,32,34
CONTACT-RELATED CRIMES,,,,,,,,,,
Arson,9,5,5,3,2,4,1,3,1,3
Malicious damage to property,34,16,21,32,46,32,38,26,21,24
PROPERTY-RELATED CRIMES,,,,,,,,,,
Burglary at non-residential premises,49,17,19,15,15,16,13,16,13,15
Burglary at residential premises,70,78,73,52,71,63,53,57,78,75
Theft of motor vehicle and motorcycle,8,5,5,3,4,3,2,1,5,7
Theft out of or from motor vehicle,8,10,12,5,3,2,5,9,12,10
Stock-theft,12,7,3,8,17,43,16,16,8,28
CRIMES HEAVILY DEPENDENT ON POLICE ACTION FOR DETECTION,,,,,,,,,,
Illegal possession of firearms and ammunition,10,7,5,1,7,3,7,0,3,4
Drug-related crime,5,7,24,4,5,3,3,3,9,42
Driving under the influence of alcohol or drugs,1,0,0,0,1,1,2,2,4,2
OTHER SERIOUS CRIMES,,,,,,,,,,
All theft not mentioned elsewhere,112,85,76,56,70,100,95,104,102,118
Commercial crime,0,3,0,1,0,0,2,1,4,0
Shoplifting,1,0,0,0,0,0,0,0,0,0
SUBCATEGORIES OF AGGRAVATED ROBBERY FORMING PART OF AGGRAVATED ROBBERY ABOVE,,,,,,,,,,
Carjacking,9,4,7,12,14,6,6,1,4,7
Truck hijacking,0,0,0,0,1,1,1,0,0,1
Robbery at residential premises,38,34,21,17,14,15,17,5,10,10
Robbery at non-residential premises,0,0,0,1,5,6,4,2,2,4
OTHER CRIME CATEGORIES,,,,,,,,,,
Culpable homicide,6,3,4,4,5,4,4,5,3,1
Public violence,0,0,0,0,1,1,0,1,0,1
Crimen injuria,10,6,8,7,8,3,1,3,3,5
Neglect and ill-treatment of children ,0,0,0,1,1,0,0,2,4,0
Kidnapping,0,6,0,3,1,1,1,0,2,1
,,,,,,,,,,
,,,,,,,,,,
Crime Research and Statistics -South African Police Service,,,,,,,,,,
,,,,,,,,,,
Crime in  Duduza (GP)  for April to March 2003/2004 - 2012/2013,,,,,,,,,,
,,,,,,,,,,
-,,,,,,,,,,
,,,,,,,,,,
Crime Category,April 2003 to March 2004,April 2004 to March 2005,April 2005 to March 2006,April 2006 to March 2007,April 2007 to March 2008 ,April 2008 to March 2009 ,April 2009 to March 2010,April 2010 to March 2011,April 2011 to March 2012,April 2012 to March 2013
CONTACT CRIME (CRIMES AGAINST THE PERSON),,,,,,,,,,
Murder,24,24,24,23,26,27,24,14,20,17
Total Sexual Crimes,106,98,95,86,95,119,89,97,97,135
Attempted murder,36,31,19,17,19,36,14,21,26,20
Assault with the intent to inflict grievous bodily harm,501,442,341,383,396,387,382,440,389,377
Common assault,400,413,305,304,334,287,383,395,315,264
Common robbery,151,132,99,84,81,97,85,64,83,71
Robbery with aggravating circumstances,247,189,162,177,172,223,230,161,171,171
CONTACT-RELATED CRIMES,,,,,,,,,,
Arson,18,9,15,14,10,13,8,10,8,10
Malicious damage to property,198,156,225,206,219,216,190,214,163,161
PROPERTY-RELATED CRIMES,,,,,,,,,,
Burglary at non-residential premises,14,19,16,24,38,53,37,46,30,27
Burglary at residential premises,404,441,321,232,246,237,333,244,188,263
Theft of motor vehicle and motorcycle,41,45,34,32,39,50,63,52,37,36
Theft out of or from motor vehicle,54,62,27,35,32,52,52,50,52,73
Stock-theft,2,0,1,1,1,7,7,9,10,19
CRIMES HEAVILY DEPENDENT ON POLICE ACTION FOR DETECTION,,,,,,,,,,
Illegal possession of firearms and ammunition,44,37,46,57,28,25,28,28,22,23
Drug-related crime,19,21,67,37,10,9,11,51,144,260
Driving under the influence of alcohol or drugs,40,31,59,33,41,77,27,48,44,48
OTHER SERIOUS CRIMES,,,,,,,,,,
All theft not mentioned elsewhere,505,360,282,266,267,222,216,235,299,289
Commercial crime,16,3,15,2,8,10,10,15,34,56
Shoplifting,1,9,20,23,10,8,15,12,10,13
SUBCATEGORIES OF AGGRAVATED ROBBERY FORMING PART OF AGGRAVATED ROBBERY ABOVE,,,,,,,,,,
Carjacking,28,20,27,23,19,31,38,31,27,28
Truck hijacking,1,2,1,2,1,2,7,2,0,1
Robbery at residential premises,31,23,13,11,8,25,20,15,12,17
Robbery at non-residential premises,0,1,8,6,21,17,26,20,27,33
OTHER CRIME CATEGORIES,,,,,,,,,,
Culpable homicide,6,9,9,5,12,6,9,7,8,11
Public violence,0,0,1,1,1,2,0,0,2,0
Crimen injuria,19,18,18,25,51,27,25,17,20,16
Neglect and ill-treatment of children ,7,3,1,2,0,1,3,0,8,8
Kidnapping,2,0,1,0,3,5,0,13,7,5
,,,,,,,,,,
,,,,,,,,,,
Crime Research and Statistics -South African Police Service,,,,,,,,,,
,,,,,,,,,,
Crime in  Dunnottar (GP)  for April to March 2003/2004 - 2012/2013,,,,,,,,,,
,,,,,,,,,,
-,,,,,,,,,,
,,,,,,,,,,
Crime Category,April 2003 to March 2004,April 2004 to March 2005,April 2005 to March 2006,April 2006 to March 2007,April 2007 to March 2008 ,April 2008 to March 2009 ,April 2009 to March 2010,April 2010 to March 2011,April 2011 to March 2012,April 2012 to March 2013
CONTACT CRIME (CRIMES AGAINST THE PERSON),,,,,,,,,,
Murder,3,1,0,2,2,5,0,1,1,1
Total Sexual Crimes,7,12,11,8,6,8,11,9,14,9
Attempted murder,7,0,7,5,2,7,4,1,1,1
Assault with the intent to inflict grievous bodily harm,30,21,22,16,30,25,29,19,19,14
Common assault,62,50,62,53,65,56,59,42,52,36
Common robbery,8,8,8,15,8,9,9,8,11,13
Robbery with aggravating circumstances,62,26,34,37,25,33,30,48,40,36
CONTACT-RELATED CRIMES,,,,,,,,,,
Arson,2,1,1,2,1,1,2,1,0,0
Malicious damage to property,39,22,29,30,43,33,42,34,54,34
PROPERTY-RELATED CRIMES,,,,,,,,,,
Burglary at non-residential premises,11,11,9,6,18,7,5,4,10,13
Burglary at residential premises,135,121,101,137,115,147,209,152,141,148
Theft of motor vehicle and motorcycle,12,13,21,29,24,27,48,17,27,23
Theft out of or from motor vehicle,37,29,47,42,50,37,25,26,31,23
Stock-theft,0,0,1,1,0,0,2,0,0,2
CRIMES HEAVILY DEPENDENT ON POLICE ACTION FOR DETECTION,,,,,,,,,,
Illegal possession of firearms and ammunition,10,6,1,2,2,1,0,7,1,1
Drug-related crime,14,9,11,4,4,1,2,1,6,1
Driving under the influence of alcohol or drugs,32,18,31,22,10,21,14,30,40,13
OTHER SERIOUS CRIMES,,,,,,,,,,
All theft not mentioned elsewhere,167,151,113,141,144,143,123,122,96,92
Commercial crime,20,23,5,9,8,9,9,9,22,37
Shoplifting,15,15,7,6,15,10,18,14,7,8
SUBCATEGORIES OF AGGRAVATED ROBBERY FORMING PART OF AGGRAVATED ROBBERY ABOVE,,,,,,,,,,
Carjacking,45,15,11,19,11,14,7,8,12,10
Truck hijacking,0,0,0,0,0,1,0,0,0,0
Robbery at residential premises,3,0,5,5,1,6,7,25,11,9
Robbery at non-residential premises,0,1,0,0,1,4,6,4,7,4
OTHER CRIME CATEGORIES,,,,,,,,,,
Culpable homicide,4,4,3,8,4,10,5,0,8,5
Public violence,1,0,1,0,0,0,0,0,0,0
Crimen injuria,19,20,20,18,19,7,12,4,7,5
Neglect and ill-treatment of children ,2,1,1,0,0,0,2,1,0,1
Kidnapping,0,1,0,0,0,0,0,0,2,1
,,,,,,,,,,
,,,,,,,,,,
Crime Research and Statistics -South African Police Service,,,,,,,,,,
,,,,,,,,,,
Crime in  Edenpark (GP)  for April to March 2003/2004 - 2012/2013,,,,,,,,,,
,,,,,,,,,,
-,,,,,,,,,,
,,,,,,,,,,
Crime Category,April 2003 to March 2004,April 2004 to March 2005,April 2005 to March 2006,April 2006 to March 2007,April 2007 to March 2008 ,April 2008 to March 2009 ,April 2009 to March 2010,April 2010 to March 2011,April 2011 to March 2012,April 2012 to March 2013
CONTACT CRIME (CRIMES AGAINST THE PERSON),,,,,,,,,,
Murder,25,22,49,46,51,52,44,38,30,32
Total Sexual Crimes,106,88,94,123,117,130,140,130,84,107
Attempted murder,61,38,39,32,38,34,55,43,24,18
Assault with the intent to inflict grievous bodily harm,451,452,477,449,500,472,457,453,372,329
Common assault,326,306,253,225,211,209,259,280,220,218
Common robbery,70,86,60,89,73,54,61,57,51,34
Robbery with aggravating circumstances,168,162,117,130,162,128,149,182,123,104
CONTACT-RELATED CRIMES,,,,,,,,,,
Arson,16,16,24,20,24,19,17,23,14,13
Malicious damage to property,165,145,176,197,188,230,222,223,184,163
PROPERTY-RELATED CRIMES,,,,,,,,,,
Burglary at non-residential premises,7,4,21,17,10,15,15,34,28,16
Burglary at residential premises,268,249,250,266,238,263,302,369,286,345
Theft of motor vehicle and motorcycle,52,50,58,78,92,88,68,46,51,30
Theft out of or from motor vehicle,106,59,58,54,94,85,85,94,91,65
Stock-theft,0,1,0,0,0,0,0,0,0,0
CRIMES HEAVILY DEPENDENT ON POLICE ACTION FOR DETECTION,,,,,,,,,,
Illegal possession of firearms and ammunition,24,23,28,24,7,23,14,18,8,30
Drug-related crime,26,39,39,26,22,19,28,28,52,72
Driving under the influence of alcohol or drugs,9,10,28,16,26,51,63,39,65,54
OTHER SERIOUS CRIMES,,,,,,,,,,
All theft not mentioned elsewhere,316,277,205,185,180,235,201,238,202,208
Commercial crime,10,7,11,14,11,23,24,31,22,19
Shoplifting,1,1,2,1,0,1,6,15,15,14
SUBCATEGORIES OF AGGRAVATED ROBBERY FORMING PART OF AGGRAVATED ROBBERY ABOVE,,,,,,,,,,
Carjacking,23,29,13,12,37,29,20,22,18,24
Truck hijacking,2,0,2,0,6,1,4,2,0,1
Robbery at residential premises,16,14,21,22,38,16,28,52,36,35
Robbery at non-residential premises,2,4,5,4,11,18,19,26,20,11
OTHER CRIME CATEGORIES,,,,,,,,,,
Culpable homicide,14,5,10,14,17,13,11,5,7,12
Public violence,3,0,1,2,1,2,5,2,0,2
Crimen injuria,41,59,42,22,11,12,24,37,23,34
Neglect and ill-treatment of children ,8,9,7,8,9,15,9,8,4,4
Kidnapping,1,3,1,7,10,8,6,11,14,12
,,,,,,,,,,
,,,,,,,,,,
Crime Research and Statistics -South African Police Service,,,,,,,,,,
,,,,,,,,,,
Crime in  Edenvale (GP)  for April to March 2003/2004 - 2012/2013,,,,,,,,,,
,,,,,,,,,,
-,,,,,,,,,,
,,,,,,,,,,
Crime Category,April 2003 to March 2004,April 2004 to March 2005,April 2005 to March 2006,April 2006 to March 2007,April 2007 to March 2008 ,April 2008 to March 2009 ,April 2009 to March 2010,April 2010 to March 2011,April 2011 to March 2012,April 2012 to March 2013
CONTACT CRIME (CRIMES AGAINST THE PERSON),,,,,,,,,,
Murder,17,7,4,3,6,13,5,8,3,5
Total Sexual Crimes,37,38,40,25,29,30,30,23,29,22
Attempted murder,20,29,25,16,27,21,19,14,11,5
Assault with the intent to inflict grievous bodily harm,139,108,79,68,73,84,65,55,83,56
Common assault,222,228,173,203,195,203,217,181,166,162
Common robbery,212,236,254,182,116,99,104,82,65,63
Robbery with aggravating circumstances,579,409,540,369,421,441,435,380,250,190
CONTACT-RELATED CRIMES,,,,,,,,,,
Arson,6,3,4,2,5,6,3,4,1,3
Malicious damage to property,375,344,335,327,291,301,341,283,233,168
PROPERTY-RELATED CRIMES,,,,,,,,,,
Burglary at non-residential premises,188,151,154,84,136,219,176,168,118,104
Burglary at residential premises,548,332,344,489,480,400,431,358,318,321
Theft of motor vehicle and motorcycle,618,614,474,678,675,545,500,451,348,303
Theft out of or from motor vehicle,718,542,557,411,451,426,405,349,378,400
Stock-theft,0,0,0,0,0,0,0,0,0,0
CRIMES HEAVILY DEPENDENT ON POLICE ACTION FOR DETECTION,,,,,,,,,,
Illegal possession of firearms and ammunition,9,5,13,10,6,15,17,24,38,37
Drug-related crime,44,29,25,20,21,30,23,34,87,105
Driving under the influence of alcohol or drugs,41,75,90,45,47,175,82,59,122,166
OTHER SERIOUS CRIMES,,,,,,,,,,
All theft not mentioned elsewhere,1352,1125,877,902,910,817,755,769,761,811
Commercial crime,239,232,217,218,331,327,389,413,347,327
Shoplifting,85,66,90,51,121,211,199,152,143,188
SUBCATEGORIES OF AGGRAVATED ROBBERY FORMING PART OF AGGRAVATED ROBBERY ABOVE,,,,,,,,,,
Carjacking,175,119,192,85,128,83,95,97,45,38
Truck hijacking,0,3,4,6,8,3,6,6,5,1
Robbery at residential premises,36,34,58,65,88,138,132,90,88,57
Robbery at non-residential premises,5,16,59,42,50,63,80,64,38,29
OTHER CRIME CATEGORIES,,,,,,,,,,
Culpable homicide,13,14,13,7,6,11,14,6,6,10
Public violence,0,3,0,0,1,0,1,1,0,1
Crimen injuria,33,38,16,29,29,40,32,30,43,33
Neglect and ill-treatment of children ,3,2,0,0,0,3,5,1,1,2
Kidnapping,4,1,0,1,4,3,2,2,1,5
,,,,,,,,,,
,,,,,,,,,,
Crime Research and Statistics -South African Police Service,,,,,,,,,,
,,,,,,,,,,
Crime in  Eersterust (GP)  for April to March 2003/2004 - 2012/2013,,,,,,,,,,
,,,,,,,,,,
-,,,,,,,,,,
,,,,,,,,,,
Crime Category,April 2003 to March 2004,April 2004 to March 2005,April 2005 to March 2006,April 2006 to March 2007,April 2007 to March 2008 ,April 2008 to March 2009 ,April 2009 to March 2010,April 2010 to March 2011,April 2011 to March 2012,April 2012 to March 2013
CONTACT CRIME (CRIMES AGAINST THE PERSON),,,,,,,,,,
Murder,13,12,13,13,12,21,13,3,3,11
Total Sexual Crimes,69,56,64,38,49,45,50,33,31,26
Attempted murder,30,36,42,30,41,86,56,28,11,12
Assault with the intent to inflict grievous bodily harm,236,271,309,258,221,262,303,222,162,129
Common assault,706,749,611,409,190,193,175,151,182,176
Common robbery,130,76,76,108,59,71,81,107,80,45
Robbery with aggravating circumstances,70,48,68,64,71,103,101,54,59,42
CONTACT-RELATED CRIMES,,,,,,,,,,
Arson,2,4,12,4,9,4,7,6,3,4
Malicious damage to property,254,241,256,217,158,201,174,140,131,140
PROPERTY-RELATED CRIMES,,,,,,,,,,
Burglary at non-residential premises,20,12,10,3,13,29,23,15,24,33
Burglary at residential premises,326,376,384,291,260,270,199,211,151,193
Theft of motor vehicle and motorcycle,61,39,39,28,15,29,31,20,9,23
Theft out of or from motor vehicle,132,110,140,105,90,92,105,123,164,142
Stock-theft,0,0,0,0,0,0,0,0,0,0
CRIMES HEAVILY DEPENDENT ON POLICE ACTION FOR DETECTION,,,,,,,,,,
Illegal possession of firearms and ammunition,17,12,14,6,3,13,25,11,11,5
Drug-related crime,34,28,40,26,31,39,51,37,53,159
Driving under the influence of alcohol or drugs,12,12,9,13,18,11,18,12,3,14
OTHER SERIOUS CRIMES,,,,,,,,,,
All theft not mentioned elsewhere,733,806,596,389,297,353,356,350,320,299
Commercial crime,12,17,6,10,12,13,18,20,14,10
Shoplifting,6,5,0,5,2,18,26,21,9,17
SUBCATEGORIES OF AGGRAVATED ROBBERY FORMING PART OF AGGRAVATED ROBBERY ABOVE,,,,,,,,,,
Carjacking,4,3,2,5,5,16,10,5,6,3
Truck hijacking,0,0,0,0,0,0,1,0,0,0
Robbery at residential premises,6,2,9,14,9,17,20,9,5,1
Robbery at non-residential premises,0,0,0,1,4,8,4,2,2,2
OTHER CRIME CATEGORIES,,,,,,,,,,
Culpable homicide,0,1,3,3,1,6,4,1,3,3
Public violence,0,0,0,1,0,0,1,0,0,0
Crimen injuria,92,109,79,60,28,31,26,19,21,15
Neglect and ill-treatment of children ,2,2,3,2,3,2,0,2,1,0
Kidnapping,0,1,0,0,0,0,1,1,3,0
,,,,,,,,,,
,,,,,,,,,,
Crime Research and Statistics -South African Police Service,,,,,,,,,,
,,,,,,,,,,
Crime in  Ekangala (GP)  for April to March 2003/2004 - 2012/2013,,,,,,,,,,
,,,,,,,,,,
-,,,,,,,,,,
,,,,,,,,,,
Crime Category,April 2003 to March 2004,April 2004 to March 2005,April 2005 to March 2006,April 2006 to March 2007,April 2007 to March 2008 ,April 2008 to March 2009 ,April 2009 to March 2010,April 2010 to March 2011,April 2011 to March 2012,April 2012 to March 2013
CONTACT CRIME (CRIMES AGAINST THE PERSON),,,,,,,,,,
Murder,8,10,7,5,8,10,10,8,11,7
Total Sexual Crimes,39,44,35,48,47,56,64,50,52,51
Attempted murder,20,19,18,26,19,25,20,20,11,8
Assault with the intent to inflict grievous bodily harm,291,272,250,245,201,229,233,228,216,203
Common assault,63,106,136,96,95,112,234,187,126,124
Common robbery,51,67,53,67,44,61,60,68,46,58
Robbery with aggravating circumstances,109,74,61,75,91,72,72,92,75,71
CONTACT-RELATED CRIMES,,,,,,,,,,
Arson,5,5,8,6,6,11,11,8,7,12
Malicious damage to property,82,90,71,82,76,99,115,110,100,112
PROPERTY-RELATED CRIMES,,,,,,,,,,
Burglary at non-residential premises,16,5,1,13,28,20,31,65,67,92
Burglary at residential premises,269,232,234,177,236,278,221,274,159,226
Theft of motor vehicle and motorcycle,11,32,25,25,12,16,47,28,17,31
Theft out of or from motor vehicle,23,48,37,25,27,35,52,37,55,39
Stock-theft,12,6,12,8,2,3,4,4,2,6
CRIMES HEAVILY DEPENDENT ON POLICE ACTION FOR DETECTION,,,,,,,,,,
Illegal possession of firearms and ammunition,8,7,5,11,4,3,9,13,8,7
Drug-related crime,20,28,22,15,16,34,52,58,108,245
Driving under the influence of alcohol or drugs,6,4,1,0,0,12,24,41,32,26
OTHER SERIOUS CRIMES,,,,,,,,,,
All theft not mentioned elsewhere,243,222,168,142,177,212,212,198,164,175
Commercial crime,9,12,8,7,12,12,12,9,12,23
Shoplifting,1,0,2,3,1,4,5,1,3,9
SUBCATEGORIES OF AGGRAVATED ROBBERY FORMING PART OF AGGRAVATED ROBBERY ABOVE,,,,,,,,,,
Carjacking,0,0,4,0,18,7,14,2,5,4
Truck hijacking,0,0,0,0,1,0,0,1,0,0
Robbery at residential premises,1,0,0,2,4,10,7,18,9,19
Robbery at non-residential premises,2,1,0,0,7,13,21,29,41,34
OTHER CRIME CATEGORIES,,,,,,,,,,
Culpable homicide,5,12,6,5,2,5,3,3,6,4
Public violence,1,4,1,3,0,2,1,1,2,7
Crimen injuria,23,16,26,23,13,6,10,16,12,11
Neglect and ill-treatment of children ,2,8,3,10,0,4,10,21,3,10
Kidnapping,0,0,0,1,2,0,0,3,7,3
,,,,,,,,,,
,,,,,,,,,,
Crime Research and Statistics -South African Police Service,,,,,,,,,,
,,,,,,,,,,
Crime in  Eldorado Park (GP)  for April to March 2003/2004 - 2012/2013,,,,,,,,,,
,,,,,,,,,,
-,,,,,,,,,,
,,,,,,,,,,
Crime Category,April 2003 to March 2004,April 2004 to March 2005,April 2005 to March 2006,April 2006 to March 2007,April 2007 to March 2008 ,April 2008 to March 2009 ,April 2009 to March 2010,April 2010 to March 2011,April 2011 to March 2012,April 2012 to March 2013
CONTACT CRIME (CRIMES AGAINST THE PERSON),,,,,,,,,,
Murder,24,49,31,35,28,39,39,31,29,42
Total Sexual Crimes,158,147,148,132,138,131,181,168,138,142
Attempted murder,44,45,48,38,43,55,56,31,40,29
Assault with the intent to inflict grievous bodily harm,595,702,701,491,694,666,924,892,736,737
Common assault,1071,1125,739,365,532,526,1223,1716,1201,905
Common robbery,216,275,164,85,147,124,204,196,188,172
Robbery with aggravating circumstances,312,379,260,151,247,298,393,416,322,335
CONTACT-RELATED CRIMES,,,,,,,,,,
Arson,13,18,14,9,22,14,20,20,8,14
Malicious damage to property,505,559,498,322,455,433,663,689,661,612
PROPERTY-RELATED CRIMES,,,,,,,,,,
Burglary at non-residential premises,28,37,25,17,29,45,115,96,61,87
Burglary at residential premises,291,345,314,201,312,389,446,528,442,453
Theft of motor vehicle and motorcycle,85,96,96,77,144,107,96,118,145,170
Theft out of or from motor vehicle,284,279,206,129,170,141,322,347,250,322
Stock-theft,1,0,0,3,1,0,2,2,1,2
CRIMES HEAVILY DEPENDENT ON POLICE ACTION FOR DETECTION,,,,,,,,,,
Illegal possession of firearms and ammunition,44,38,24,24,33,38,37,38,56,46
Drug-related crime,136,296,240,352,544,674,741,493,470,1303
Driving under the influence of alcohol or drugs,50,83,69,72,79,205,153,320,135,190
OTHER SERIOUS CRIMES,,,,,,,,,,
All theft not mentioned elsewhere,1537,1403,741,438,718,669,892,1217,1125,1036
Commercial crime,55,62,51,13,24,43,89,100,40,55
Shoplifting,76,81,63,70,66,145,157,168,196,153
SUBCATEGORIES OF AGGRAVATED ROBBERY FORMING PART OF AGGRAVATED ROBBERY ABOVE,,,,,,,,,,
Carjacking,39,51,29,20,38,56,60,41,43,35
Truck hijacking,5,3,3,0,4,5,3,4,0,6
Robbery at residential premises,8,32,14,4,9,25,26,24,34,12
Robbery at non-residential premises,1,3,5,10,13,16,33,42,29,22
OTHER CRIME CATEGORIES,,,,,,,,,,
Culpable homicide,23,28,22,19,28,28,35,33,25,27
Public violence,0,2,4,0,3,2,12,1,1,1
Crimen injuria,144,130,18,4,17,24,80,112,54,35
Neglect and ill-treatment of children ,26,22,16,10,17,20,26,27,28,17
Kidnapping,4,5,5,5,9,11,19,26,16,12
,,,,,,,,,,
,,,,,,,,,,
Crime Research and Statistics -South African Police Service,,,,,,,,,,
,,,,,,,,,,
Crime in  Elsburg (GP)  for April to March 2003/2004 - 2012/2013,,,,,,,,,,
,,,,,,,,,,
-,,,,,,,,,,
,,,,,,,,,,
Crime Category,April 2003 to March 2004,April 2004 to March 2005,April 2005 to March 2006,April 2006 to March 2007,April 2007 to March 2008 ,April 2008 to March 2009 ,April 2009 to March 2010,April 2010 to March 2011,April 2011 to March 2012,April 2012 to March 2013
CONTACT CRIME (CRIMES AGAINST THE PERSON),,,,,,,,,,
Murder,18,10,9,14,11,23,6,13,6,12
Total Sexual Crimes,48,47,74,65,55,58,53,75,62,42
Attempted murder,25,16,14,18,16,27,16,12,16,43
Assault with the intent to inflict grievous bodily harm,215,211,180,198,165,177,197,194,174,138
Common assault,244,229,205,219,141,118,145,161,167,208
Common robbery,103,105,83,90,62,58,65,46,47,42
Robbery with aggravating circumstances,288,204,226,254,290,317,332,257,178,155
CONTACT-RELATED CRIMES,,,,,,,,,,
Arson,3,5,7,7,7,12,11,9,12,6
Malicious damage to property,224,219,185,175,208,192,171,204,161,177
PROPERTY-RELATED CRIMES,,,,,,,,,,
Burglary at non-residential premises,136,131,103,108,181,199,159,101,79,118
Burglary at residential premises,414,310,336,203,268,316,358,267,284,442
Theft of motor vehicle and motorcycle,251,308,292,322,309,352,381,295,222,160
Theft out of or from motor vehicle,207,221,201,176,201,197,224,143,143,149
Stock-theft,0,0,0,0,0,0,0,1,0,0
CRIMES HEAVILY DEPENDENT ON POLICE ACTION FOR DETECTION,,,,,,,,,,
Illegal possession of firearms and ammunition,9,7,22,15,22,9,8,5,12,20
Drug-related crime,12,11,15,19,9,8,15,19,31,52
Driving under the influence of alcohol or drugs,18,17,30,41,73,68,53,31,32,37
OTHER SERIOUS CRIMES,,,,,,,,,,
All theft not mentioned elsewhere,767,686,554,485,481,569,591,556,592,564
Commercial crime,117,100,81,99,153,143,172,162,165,171
Shoplifting,5,4,12,10,9,6,13,15,22,19
SUBCATEGORIES OF AGGRAVATED ROBBERY FORMING PART OF AGGRAVATED ROBBERY ABOVE,,,,,,,,,,
Carjacking,50,35,44,70,80,81,91,69,62,35
Truck hijacking,10,5,5,4,8,8,15,12,2,6
Robbery at residential premises,18,16,37,23,26,24,55,26,13,26
Robbery at non-residential premises,6,8,33,42,69,109,80,68,37,45
OTHER CRIME CATEGORIES,,,,,,,,,,
Culpable homicide,9,14,15,22,22,29,22,19,14,29
Public violence,0,1,3,2,2,1,2,0,21,7
Crimen injuria,49,51,44,30,19,22,16,19,22,58
Neglect and ill-treatment of children ,7,2,1,5,4,2,6,3,2,8
Kidnapping,0,0,1,3,0,3,3,5,5,6
,,,,,,,,,,
,,,,,,,,,,
Crime Research and Statistics -South African Police Service,,,,,,,,,,
,,,,,,,,,,
Crime in  Ennerdale (GP)  for April to March 2003/2004 - 2012/2013,,,,,,,,,,
,,,,,,,,,,
-,,,,,,,,,,
,,,,,,,,,,
